Ya incluido;PMID;Anio;Titulo;Revista;DOI;Motivo de avance;PubMed
SI;40593506;2025;Phage therapy with nebulized cocktail BX004-A for chronic Pseudomonas aeruginosa infections in cystic fibrosis: a randomized first-in-human trial.;Nature communications;10.1093/gigascience/giac076;BX004-A randomised first-in-human trial in cystic fibrosis;https://pubmed.ncbi.nlm.nih.gov/40593506/
;39740667;2025;Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients with infected and non-infected diabetic foot ulcers.;Med (New York, N.Y.);10.1016/j.medj.2024.11.018;randomised double-blind trial of TP-102 in patients with diabetic foot ulcers;https://pubmed.ncbi.nlm.nih.gov/39740667/
SI;41244966;2025;Resolution of acute rejection in a bilateral double-lung transplanted cystic fibrosis patient following phage intervention.;ASM case reports;10.1038/s41591-021-01403-9;case: acute rejection resolved in a bilateral lung transplant recipient after phage;https://pubmed.ncbi.nlm.nih.gov/41244966/
;39834667;2025;Successful Treatment of a Patient With Chronic Bronchiectasis Using an Induced Native Phage Cocktail: A Case Report.;Cureus;10.7759/cureus.77681;case: chronic bronchiectasis treated with an induced native phage cocktail;https://pubmed.ncbi.nlm.nih.gov/39834667/
;40899889;2025;[Clinical efficiency of polyvalent piobacteriophage in the complex treatment of nosocomial sinusitis].;Vestnik otorinolaringologii;10.17116/otorino20259004133;polyvalent pyobacteriophage in 30 intensive-care patients with nosocomial sinusitis;https://pubmed.ncbi.nlm.nih.gov/40899889/
SI;42070625;2026;Adjuvant multisite bacteriophage cocktail administration as salvage treatment in a patient with a multidrug-resistant Pseudomonas aeruginosa frontal relapsing complex osteitis.;International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases;10.1016/j.ijid.2026.108756;case: 37-year-old man, multisite phage cocktail salvage for MDR bone infection;https://pubmed.ncbi.nlm.nih.gov/42070625/
;40810649;2026;Bacteriophage therapy in clinical practice: case studies of Pseudomonas aeruginosa infections.;Journal of chemotherapy (Florence, Italy);10.1080/1120009X.2025.2547147;clinical practice case studies of P. aeruginosa infections;https://pubmed.ncbi.nlm.nih.gov/40810649/
;42263718;2026;Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefepime-zidebactam alongside phage therapy in the USA.;The Lancet. Infectious diseases;10.1016/S1473-3099(26)00176-3;case: calciphylaxis with NDM-1 P. aeruginosa, cefepime-zidebactam alongside phage;https://pubmed.ncbi.nlm.nih.gov/42263718/
SI;42364990;2026;Chronic suppression of a multidrug-resistant Pseudomonas aeruginosa in prosthetic joint infection using personalized bacteriophage treatment.;Nature communications;10.1038/s41467-026-74326-z;chronic suppression of MDR P. aeruginosa prosthetic joint infection with personalised phage;https://pubmed.ncbi.nlm.nih.gov/42364990/
SI;41853116;2026;Clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection with adjunctive bacteriophage therapy.;ASM case reports;10.1093/jacamr/dlac046;clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection;https://pubmed.ncbi.nlm.nih.gov/41853116/
;41667461;2026;Ecological partitioning enables phage-antibiotic cooperation in a human Pseudomonas infection.;Nature communications;10.1093/bioinformatics/btt656;longitudinal multiomic case analysis of a man in his seventies on phage-antibiotic therapy;https://pubmed.ncbi.nlm.nih.gov/41667461/
;41589298;2026;Pan-Resistant Pseudomonas aeruginosa Septic Shock in a Critically Ill Patient: A Case Report.;Clinical medicine insights. Case reports;10.1177/11795476251411094;case report: pan-resistant P. aeruginosa septic shock in a critically ill patient;https://pubmed.ncbi.nlm.nih.gov/41589298/
;41510198;2026;Pharmacodynamic individualization of phage therapy against a KPC-5-producing Pseudomonas aeruginosa.;JAC-antimicrobial resistance;10.3390/ph14101019;"pharmacodynamic individualisation against a KPC-5-producing isolate; clinical assessment";https://pubmed.ncbi.nlm.nih.gov/41510198/
SI;41565011;2026;Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidrug-Resistant Pseudomonas aeruginosa in a 2-Year-Old Child.;The Journal of pediatrics;10.1016/j.jpeds.2026.115005;case: recalcitrant intra-abdominal MDR infection in a paediatric patient;https://pubmed.ncbi.nlm.nih.gov/41565011/
SI;41513696;2026;Timely bespoke phage-antibiotic combination to treat refractory Pseudomonas aeruginosa mediastinitis and vascular graft infection.;Nature communications;10.1128/jcm.22.6.996-1006.1985;case: refractory mediastinitis and vascular graft infection, bespoke phage-antibiotic;https://pubmed.ncbi.nlm.nih.gov/41513696/
