PMID;Anio;Titulo;Decision;Motivo;Decidido por;Fecha;Ya incluido
33198306;2020;Emerging Strategies to Combat β-Lactamase Producing ESKAPE Pathogens.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33396965;2020;Bacteriophage Treatment: Critical Evaluation of Its Application on World Health Organization Priority Pathogens.;EXCLUDE;"secondary synthesis; usable for citation-chasing but not a primary study";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33505366;2020;Overcoming Challenges to Make Bacteriophage Therapy Standard Clinical Treatment Practice for Cystic Fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
36147897;2020;Natural and Induced Antibodies Against Phages in Humans: Induction Kinetics and Immunogenicity for Structural Proteins of PB1-Related Phages.;EXCLUDE;human subjects but not P. aeruginosa infection treated with phage;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33261536;2021;Bacteriophages for ESKAPE: role in pathogenicity and measures of control.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33273319;2021;Therapeutic Perspectives and Mechanistic Insights of Phage Therapy in Allotransplantation.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33434411;2021;Bacteriophage therapy for infections in CF.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33466546;2021;Bacteriophage Therapy of Bacterial Infections: The Rediscovered Frontier.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33498243;2021;Animal Models in the Evaluation of the Effectiveness of Phage Therapy for Infections Caused by Gram-Negative Bacteria from the ESKAPE Group and the Reliability of Its Use in Humans.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33671516;2021;Approaches to Targeting Bacterial Biofilms in Cystic Fibrosis Airways.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
33830543;2021;How to kill Pseudomonas-emerging therapies for a challenging pathogen.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34064648;2021;Clinical Pharmacology of Bacteriophage Therapy: A Focus on Multidrug-Resistant Pseudomonas aeruginosa Infections.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34130464;2021;Anti-biofilm activity of bacteriophages and lysins in chronic rhinosinusitis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34198741;2021;The Potential Role of Bacteriophages in the Treatment of Recalcitrant Chronic Rhinosinusitis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34199889;2021;Advances in Bacteriophage Therapy against Relevant MultiDrug-Resistant Pathogens.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34282933;2021;The Future of Bacteriophage Therapy Will Promote Antimicrobial Susceptibility.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34663499;2021;Advancing phage therapy through the lens of virus host-breadth and emergence potential.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34696396;2021;Phages from Genus Bruynoghevirus and Phage Therapy: Pseudomonas Phage Delta Case.;EXCLUDE;"laboratory study: phage isolation, characterisation, susceptibility or biofilm testing on isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
34943709;2021;Treating Bacterial Infections with Bacteriophage-Based Enzybiotics: In Vitro, In Vivo and Clinical Application.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:03:21;
35040388;2022;Novel investigational treatments for ventilator-associated pneumonia and critically ill patients in the intensive care unit.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35041506;2022;Considerations for the Use of Phage Therapy in Clinical Practice.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35150435;2022;Therapeutic Strategies for Emerging Multidrug-Resistant Pseudomonas aeruginosa.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35165237;2022;Advancing bacteriophages as a treatment of antibiotic-resistant bacterial pulmonary infections.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35258339;2022;Complete Genome Sequence of Pseudomonas aeruginosa Bacteriophage PASA16, Used in Multiple Phage Therapy Treatments Globally.;EXCLUDE;"laboratory study: genome announcement, formulation, cocktail design or platform technology; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35671882;2022;Novel antimicrobial agents for combating antibiotic-resistant bacteria.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35752612;2022;Pseudomonas aeruginosa: pathogenesis, virulence factors, antibiotic resistance, interaction with host, technology advances and emerging therapeutics.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35880080;2022;What Is New in the Anti-Pseudomonas aeruginosa Clinical Development Pipeline Since the 2017 WHO Alert?;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36090087;2022;Treatment of Pseudomonas aeruginosa infectious biofilms: Challenges and strategies.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36320594;2022;Therapeutic Bacteriophages for Gram-Negative Bacterial Infections in Animals and Humans.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36344073;2022;Novel Approaches to Multidrug-Resistant Infections in Cystic Fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36468950;2022;Bacteriophages: An Alternative to Combat Antibiotic Resistance?;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36748497;2022;Challenges and opportunities in the development of novel antimicrobial therapeutics for cystic fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
35931928;2023;Current knowledge in the use of bacteriophages to combat infections caused by Pseudomonas aeruginosa in cystic fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36584930;2023;Coping with the ESKAPE pathogens: Evolving strategies, challenges and future prospects.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
36898591;2023;Phage-based therapy against biofilm producers in gram-negative ESKAPE pathogens.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37508185;2023;Bacteriophage-Antibiotic Combination Therapy against Pseudomonas aeruginosa.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37598024;2023;A systematic review on the use of bacteriophage in treating Staphylococcus aureus and Pseudomonas aeruginosa infections in cystic fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37644177;2023;[New developments in the fight against bacterial infections : Update on antiobiotic research, development and treatment].;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37770166;2023;Phages for treatment Pseudomonas aeruginosa infection.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37843118;2023;Priorities and Progress in Gram-negative Bacterial Infection Research by the Antibacterial Resistance Leadership Group.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37843121;2023;The Antibacterial Resistance Leadership Group: Scientific Advancements and Future Directions.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37931230;2023;Jumbo phages are active against extensively drug-resistant eyedrop-associated Pseudomonas aeruginosa infections.;EXCLUDE;"in vitro or preclinical activity testing against isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37997873;2023;Present and future of resistance in Pseudomonas aeruginosa: implications for treatment.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38016738;2023;Bacteriophage treatment as an alternative therapy for multidrug-resistant bacteria.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38045026;2023;A mechanism-based pathway toward administering highly active N-phage cocktails.;EXCLUDE;"laboratory study: genome announcement, formulation, cocktail design or platform technology; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
37967634;2024;Bacteriophages: Status quo and emerging trends toward one health approach.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38261031;2024;Phage therapy in lung infections caused by multidrug-resistant Pseudomonas aeruginosa - A literature review.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38280761;2024;Novel Approaches to Multidrug-Resistant Infections in Cystic Fibrosis.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38284691;2024;Strategies to Overcome Antimicrobial Resistance in Nosocomial Infections, A Review and Update.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38345396;2024;Bacteriophages for bronchiectasis: treatment of the future?;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38391505;2024;Advances in Development of Novel Therapeutic Strategies against Multi-Drug Resistant Pseudomonas aeruginosa.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38646632;2024;Antimicrobial resistance of Pseudomonas aeruginosa: navigating clinical impacts, current resistance trends, and innovations in breaking therapies.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38786114;2024;Use of the Naturally Occurring Bacteriophage Grouping Model for the Design of Potent Therapeutic Cocktails.;EXCLUDE;"laboratory study: genome announcement, formulation, cocktail design or platform technology; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38787276;2024;Phage Therapy for Cardiac Implantable Electronic Devices and Vascular Grafts: A Targeted Literature Review.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38934592;2024;Optimizing bacteriophage treatment of resistant Pseudomonas.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
38992046;2024;High throughput platform technology for rapid target identification in personalized phage therapy.;EXCLUDE;"laboratory study: genome announcement, formulation, cocktail design or platform technology; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
39017931;2024;Phage therapy: an alternative treatment modality for MDR bacterial infections.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
39066214;2024;Pseudomonas aeruginosa Bacteriophages and Their Clinical Applications.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
39072666;2024;Pharmacokinetics and pharmacodynamics of bacteriophage therapy: a review with a focus on multidrug-resistant Gram-negative bacterial infections.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
39091071;2024;The Guardian of Vision: Intelligent Bacteriophage-Based Eyedrops for Clinical Multidrug-Resistant Ocular Surface Infections.;EXCLUDE;"in vitro or preclinical activity testing against isolates; no patients treated";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
39104636;2024;Understanding and treating diabetic foot ulcers: Insights into the role of cutaneous microbiota and innovative therapies.;EXCLUDE;narrative or systematic review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:11:12;
39125890;2024;Phage Therapy: An Alternative Approach to Combating Multidrug-Resistant Bacterial Infections in Cystic Fibrosis.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
39452768;2024;Phage-Based Therapy in Combination with Antibiotics: A Promising Alternative against Multidrug-Resistant Gram-Negative Pathogens.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
39482746;2024;Current status of bacteriophage therapy for severe bacterial infections.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
39518670;2024;Therapeutic Interventions for Pseudomonas Infections in Cystic Fibrosis Patients: A Review of Phase IV Trials.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
39545100;2024;Phage Therapy Against Antibiotic-Resistant and Multidrug-Resistant Infections Involving Nonhealing Wounds and Prosthetic Joint Infections Associated With Biofilms: A Mini-Review.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40255216;2025;What Are the Optimal Irrigating Wound Vacuum Parameters When Using Bacteriophage Therapeutics?;EXCLUDE;"methodological, survey or in vitro work; no patient outcomes reported";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40284749;2025;Antibiotic-Resistant Pseudomonas aeruginosa: Current Challenges and Emerging Alternative Therapies.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40413913;2025;Phage therapy: A novel approach to combat drug-resistant pathogens.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40426494;2025;Overcoming Pseudomonas aeruginosa in Chronic Suppurative Lung Disease: Prevalence, Treatment Challenges, and the Promise of Bacteriophage Therapy.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40478338;2025;Bacteriophage therapy to combat MDR non-fermenting Gram-negative bacteria causing nosocomial infections: recent progress and challenges.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40488994;2025;Novel therapeutic strategies targeting infections caused by P. aeruginosa biofilm.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40596887;2025;Efficacy of phage therapy in Diabetic Foot Ulcers (DFUs): a systematic review.;EXCLUDE;"secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40635382;2025;Phage-Antibiotic Combinations for Pseudomonas: Successes in the Clinic and In Vitro Tenuously Connected.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40781777;2025;The potential of bacteriophages in treating multidrug-resistant ESKAPE pathogen infections.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40854749;2025;[Current status and future prospects of antibacterial treatment for Carbapenem-resistant gram-negative bacterial infections in solid organ transplant recipients].;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40976373;2025;Phage therapy: An international survey of attitudes and experiences amongst clinicians.;EXCLUDE;"methodological, survey or in vitro work; no patient outcomes reported";"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
40979551;2025;Revolutionizing diabetic foot ulcer treatment: phage therapy as a next-generation antimicrobial approach- a review on breaking the cycle of resistance.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41065368;2025;Current and future options for the treatment of serious infections due to carbapenem-resistant Pseudomonas aeruginosa.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41089845;2025;Antibiotic-sparing strategies for multidrug-resistant organism (MDRO) infections.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41139254;2025;Review: Targeting multidrug-resistant pneumonia: The potential of combined antibiotic therapies and non-antimicrobial approaches.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41156622;2025;Phage to ESKAPE: Personalizing Therapy for MDR Infections-A Comprehensive Clinical Review.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41334893;2025;Beyond Antibiotics: Emerging Therapies for Pseudomonas aeruginosa in Diabetic Foot Infections.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41648009;2025;Multidrug-resistant Pseudomonas aeruginosa infections: current status, challenges, and prospects of phage therapy.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41323151;2026;Phage Therapy for Hospital-Acquired Respiratory Bacterial Infections: A Review.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41412007;2026;A review of phage therapy for drug-resistant Pseudomonas aeruginosa infections.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41597449;2026;Mechanisms of Pseudomonas aeruginosa Resilience Against Antibiotic Treatment and Outlooks of Emerging Treatment Strategies.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41750423;2026;Phage-Based Approaches to Chronic Pseudomonas aeruginosa Lung Infection in Cystic Fibrosis.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
41781219;2026;Cystic fibrosis year in review 2025.;EXCLUDE;narrative review with no primary patient data of its own;"claude-opus-5 (abstract stage, LLM-assisted; pending human verification)";2026-08-04T07:12:18;
