record_id,estudio,idioma_declarado,fuente_declarado,idioma_del_texto,clase_de_evidencia,prueba,estado,caracteres_de_resumen,titulo_alternativo,revista,titulo
R28423b4c7c,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.184 frente a spa 0.000; palabras: the of and in to a with was,ADMITIDO,1945,,Journal of cystic fibrosis,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicentre study evaluating nebulized phage thera"
Re2c1c6e52f,8,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.077 frente a spa 0.000; palabras: in with patients,ADMITIDO,0,,,Nebulized Bacteriophage Therapy in Cystic Fibrosis Patients With Chronic Pseudomonas Aeruginosa Pulmonary Infe
R793249bfc4,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.201 frente a spa 0.006; palabras: the of and in to a for with,ADMITIDO,3156,,Journal of cystic fibrosis,"A phase 1b/2a randomized, double-blind, placebo-controlled, multicenter study evaluating nebulized phage thera"
R7b2a90b3b7,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.215 frente a spa 0.004; palabras: the of and in to a for with,ADMITIDO,1620,,European respiratory journal,"A novel treatment for chronic P. aeruginosa pulmonary infection in CF subjects - A phase 1b/2a randomized, dou"
Rc29fe2424c,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.186 frente a dan 0.028; palabras: the of and in to a with was,ADMITIDO,1944,,Journal of cystic fibrosis,WS06.06 Safety and efficacy of a nebulized phage cocktail in cystic fibrosis patients with chronic Pseudomonas
Rc4889b04ba,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.151 frente a spa 0.008; palabras: the of and in to a with was,ADMITIDO,1605,,European respiratory journal,Novel nebulized phage cocktail in CF patients with chronic P. aeruginosa pulmonary infection: a Ph1b/2a random
R71b87ec1f2,8,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.166 frente a spa 0.002; palabras: the of and in to a for with,ADMITIDO,3612,,Journal of cystic fibrosis,Safety and efficacy of nebulized phage in people with cystic fibrosis with chronic Pseudomonas aeruginosa pulm
R3608cade6a,8,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.154 frente a spa 0.000; palabras: in to a with study treatment,ADMITIDO,0,,,"A Phase 1b/2a, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriop"
R7f5e8ad26a,9,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.229 frente a por 0.017; palabras: the of and in to a with were,ADMITIDO,2528,,Frontiers in pharmacology,Case Report: Chronic Bacterial Prostatitis Treated With Phage Therapy After Multiple Failed Antibiotic Treatme
R65dafc8475,10,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.256 frente a por 0.017; palabras: the of and in to a for with,ADMITIDO,1094,,Nature Communications ,Personalized bacteriophage therapy to treat pandrug-resistant spinal Pseudomonas aeruginosa infection.
R92e57101da,11,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.227 frente a por 0.005; palabras: the of and in to a for with,ADMITIDO,1245,,Scientific reports,A case report of bacteriophage therapy for the treatment of lung infection due to carbapenem-resistant Pseudom
R4097bfc5b7,12,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.220 frente a por 0.024; palabras: the of and in to a for with,ADMITIDO,1108,,Nature communications,Chronic suppression of a multidrug-resistant Pseudomonas aeruginosa in prosthetic joint infection using person
R1283b43e8a,13,eng,exportacion de Scopus (brazo A) (campo de idioma),eng,A. texto probado,eng 0.187 frente a por 0.012; palabras: the of and in to a for with,ADMITIDO,1758,,hLife,Personalized bacteriophage therapy for chronic biliary tract Pseudomonas aeruginosa infections
R5f5c60be8e,14,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.217 frente a por 0.006; palabras: the of and in to a for with,ADMITIDO,1261,,Bioscience trends,Bacteriophage therapy for empyema caused by carbapenem-resistant Pseudomonas aeruginosa.
Rc16977760e,15,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.214 frente a por 0.010; palabras: the of and in to a for with,ADMITIDO,1915,,JAC-antimicrobial resistance,Combination of phage therapy and cefiderocol to successfully treat Pseudomonas aeruginosa cranial osteomyeliti
R0145584831,16,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.227 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,2707,,Frontiers in medicine,Use of Phage Cocktail BFC 1.10 in Combination With Ceftazidime-Avibactam in the Treatment of Multidrug-Resista
Re9d81705c2,17,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.209 frente a por 0.016; palabras: the of and in to a for with,ADMITIDO,1738,,Cureus,Successful Treatment of a Patient With Chronic Bronchiectasis Using an Induced Native Phage Cocktail: A Case R
Raf45c3cf1c,18,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.137 frente a spa 0.007; palabras: the of and in to a for is,ADMITIDO,1071,,"Journal of chemotherapy (Florence, Italy)",Bacteriophage therapy in clinical practice: case studies of Pseudomonas aeruginosa infections.
Rff26853b4a,19,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.224 frente a spa 0.004; palabras: the of and in to a with was,ADMITIDO,1776,,"Med (New York, N.Y.)",Neutralizing antibodies after nebulized phage therapy in cystic fibrosis patients.
R5934512026,20,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.190 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,1131,,Nature Communications ,Adjunctive phage therapy improves antibiotic treatment of ventilator-associated-pneumonia with Pseudomonas aer
Rc27a7629de,21,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.200 frente a spa 0.000; palabras: the of in for patients treatment,ADMITIDO,0,,,Evaluation of phage therapy for the treatment of Pseudomonas aeruginosa wound infections in burned patients (P
Ra2af797394,21,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.278 frente a spa 0.000; palabras: the of and in for patients treatment,ADMITIDO,0,,,Evaluation of Phage Therapy for the Treatment of Escherichia Coli and Pseudomonas Aeruginosa Wound Infections 
R49b7551b94,21,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.233 frente a ita 0.005; palabras: the of and in to a for with,ADMITIDO,4021,,The Lancet. Infectious diseases,Efficacy and tolerability of a cocktail of bacteriophages to treat burn wounds infected by Pseudomonas aerugin
R00267b912e,22,eng,ficha de registro de ensayo: el registro publica en ingles,dan,D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,"Individual Patient Expanded Access for AB-PA01, an Investigational Anti-Pseudomonas Aeruginosa Bacteriophage T"
Refd51ea317,23,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.205 frente a ita 0.011; palabras: the of and in to a for with,ADMITIDO,1187,,https://clinicaltrials.gov/study/NCT05948592,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection
R17a60bebc5,23,eng,ficha de registro de ensayo: el registro publica en ingles,(indeterminado),D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,Bacteriophage Therapy TP-102 in Patients With Diabetic Foot Infection
Rc5f05c2543,24,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.187 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,1046,,Journal of investigative medicine high impact case reports,Bacteriophage Therapy for Pan-Drug-Resistant Pseudomonas aeruginosa in Two Persons With Cystic Fibrosis.
R8a3bc1100e,25,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.229 frente a spa 0.000; palabras: the of and in to a with is,ADMITIDO,572,,https://clinicaltrials.gov/show/NCT04787250,Bacteriophage Therapy in Patients With Prosthetic Joint Infections
R685eac0bf9,25,eng,ficha de registro de ensayo: el registro publica en ingles,(indeterminado),D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections
R154a4d73a3,26,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.211 frente a spa 0.000; palabras: the of and in to a with is,ADMITIDO,534,,https://clinicaltrials.gov/show/NCT05269134,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI)
Rcdf346a99e,26,eng,ficha de registro de ensayo: el registro publica en ingles,(indeterminado),D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,Bacteriophage Therapy in Patients With Prosthetic Joint Infections (PJI)
R87db0a0109,27,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.221 frente a por 0.006; palabras: the of and in to a for with,ADMITIDO,1241,,Nature communications,Personalized aerosolised bacteriophage treatment of a chronic lung infection due to multidrug-resistant Pseudo
Re06c450e37,28,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.223 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,1895,,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,A feasibility study for personalized phage therapy against drug-resistant bacteria in Japan.
R179a877749,29,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.216 frente a ita 0.011; palabras: the of and in to a for with,ADMITIDO,1797,,"Med (New York, N.Y.)",Randomized double-blind study on safety and tolerability of TP-102 phage cocktail in patients with infected an
R73ebf766af,29,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.278 frente a ita 0.019; palabras: the of and in to a for with,ADMITIDO,323,,https://clinicaltrials.gov/show/NCT04803708,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers
R2298493744,29,eng,ficha de registro de ensayo: el registro publica en ingles,(indeterminado),D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,Bacteriophage Therapy TP-102 in Diabetic Foot Ulcers
R36f8e8613e,29,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.266 frente a ita 0.009; palabras: the of and in to a for with,ADMITIDO,2266,,Open forum infectious diseases,Assessing the safety of TP-102 bacteriophage treatment in the management of diabetic foot infections
R71c51137b3,30,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.201 frente a ita 0.008; palabras: the of and in to a for with,ADMITIDO,1769,,ASM case reports,Clearance of hypermutator XDR Pseudomonas osteomyelitis and hardware infection with adjunctive bacteriophage t
Rad7d40f6e0,31,eng,exportacion de Scopus (brazo A) (campo de idioma),eng,A. texto probado,eng 0.189 frente a por 0.014; palabras: the of and in to a for with,ADMITIDO,1543,,Medicine in Microecology,Harnessing bacteriophages to combat antibiotic-resistant chronic postoperative infections: A promising case se
R6556b80259,32,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.176 frente a spa 0.000; palabras: the of and in a were that were,ADMITIDO,464,,Journal of the Pediatric Infectious Diseases Society,Refractory Pseudomonas Bacteremia in a 2-Year-Old Sterilized by Bacteriophage Therapy.
R30e4263f97,33,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.200 frente a spa 0.067; palabras: of and by,ADMITIDO,23,,American journal of respiratory and critical care medicine,Bacteriophage Therapy of Ventilator-associated Pneumonia and Empyema Caused by Pseudomonas aeruginosa.
R239f702d9a,34,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.216 frente a por 0.004; palabras: the of and in to a for with,ADMITIDO,1584,,Open forum infectious diseases,Lessons Learned From the First 10 Consecutive Cases of Intravenous Bacteriophage Therapy to Treat Multidrug-Re
R4215a33dab,35,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.238 frente a spa 0.000; palabras: the of and in a with,ADMITIDO,0,,,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subj
R8e9df36288,35,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.196 frente a ita 0.003; palabras: the of and in to a for with,ADMITIDO,2400,,https://clinicaltrials.gov/study/NCT05453578,A Phase 1b/2 Trial of the Safety and Microbiological Activity of Bacteriophage Therapy in Cystic Fibrosis Subj
Rf29fc741e7,35,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.208 frente a spa 0.003; palabras: the of and in to a for with,ADMITIDO,2046,,Trials,Safety and microbiological activity of phage therapy in persons with cystic fibrosis colonized with Pseudomona
Re500315433,36,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.092 frente a spa 0.000; palabras: the of and to a for with this,ADMITIDO,781,,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500107739,A Randomized Controlled Trial of Bacteriophage Cocktail Therapy for Multidrug-Resistant Gram-Negative Ventilat
R91ba44e4e5,37,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.167 frente a por 0.008; palabras: the of and in to a for with,ADMITIDO,2601,,Clinical Medicine Insights: Case Reports ,Pan-Resistant Pseudomonas aeruginosa Septic Shock in a Critically Ill Patient: A Case Report.
R02b1e109ec,38,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.205 frente a por 0.009; palabras: the of and in to with were are,ADMITIDO,1449,,Viruses,Phage Therapy Experience at the Eliava Phage Therapy Center: Three Cases of Bacterial Persistence.
R146b3e2f13,39,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.250 frente a spa 0.009; palabras: the of and in to a for with,ADMITIDO,1464,,Antibiotics,Adaptive Phage Therapy for the Prevention of Recurrent Nosocomial Pneumonia: Novel Protocol Description and Ca
R5b72edadd2,40,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.173 frente a por 0.007; palabras: the of and in to a for with,ADMITIDO,845,,Infection and drug resistance,Refractory Pseudomonas aeruginosa Bronchopulmonary Infection After Lung Transplantation for Common Variable Im
R7e46934a02,41,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.224 frente a spa 0.000; palabras: the of and to a for with is,ADMITIDO,866,,Scientific reports,Optimized preparation pipeline for emergency phage therapy against Pseudomonas aeruginosa at Yale University.
R35b74982e8,42,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.204 frente a por 0.007; palabras: the of and in to a for with,ADMITIDO,869,,mLife,Phage therapy of perinephric abscess in kidney transplantation recipients caused by drug-resistant Pseudomonas
R2105e151c4,43,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.199 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,893,,The Lancet. Infectious diseases,Calciphylaxis complicated by NDM-1-producing Pseudomonas aeruginosa: first experience with cefepime-zidebactam
Rdcfed12d81,44,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.192 frente a spa 0.013; palabras: the of in to a with is by,ADMITIDO,441,,The Journal of pediatrics,Successful Bacteriophage Treatment of a Recalcitrant Intra-Abdominal Infection Caused by Multidrug-Resistant P
R786d185312,45,eng,exportacion de Scopus (brazo B) (campo de idioma),eng,A. texto probado,eng 0.242 frente a ita 0.005; palabras: the of and in to for is that,ADMITIDO,1161,,Infektsionnye Bolezni,Concept of individualized medicine based on personalized phage therapy for intensive care unit patients suffer
Rb2ced3ce85,46,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.192 frente a spa 0.038; palabras: the of in a with treatment,ADMITIDO,23,,"Critical care (London, England)",Use of bacteriophages in the treatment of colistin-only-sensitive Pseudomonas aeruginosa septicaemia in a pati
Red52d0884d,47,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.282 frente a spa 0.014; palabras: the of and to a for were were,ADMITIDO,399,,Antimicrobial agents and chemotherapy,Bacteriophages as Adjuvant to Antibiotics for the Treatment of Periprosthetic Joint Infection Caused by Multid
Rcdf0cd1678,48,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.163 frente a spa 0.013; palabras: the of and in to a for with,ADMITIDO,1811,,Open forum infectious diseases,Application of Phage Therapy in a Case of a Chronic Hip-Prosthetic Joint Infection due to Pseudomonas aerugino
R0785077af4,49,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.208 frente a spa 0.000; palabras: the of and in to a for was,ADMITIDO,707,,The Journal of infectious diseases,Development of Host Immune Response to Bacteriophage in a Lung Transplant Recipient on Adjunctive Phage Therap
R50e1887412,50,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.212 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,1400,,International journal of antimicrobial agents,Access to phage therapy at Hospices Civils de Lyon in 2022: Implementation of the PHAGEinLYON Clinic programme
R663b355c69,50,eng,ficha de registro de ensayo: el registro publica en ingles,(indeterminado),D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,Avis-PHAGEinLYON Clinic
R79b5603bcb,51,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.240 frente a spa 0.003; palabras: the of and in to a for with,ADMITIDO,2496,,Frontiers in Medicine,Case report: Local bacteriophage therapy for fracture-related infection with polymicrobial multi-resistant bac
R9c54b30733,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.210 frente a spa 0.010; palabras: the of and in to a for with,ADMITIDO,2790,,American journal of respiratory and critical care medicine,Cystic Fibrosis Bacteriophage Study at Yale (CYPHY)
Rcea9abc521,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.219 frente a spa 0.008; palabras: the of and in to a for with,ADMITIDO,3346,,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
Rdd0e4fa658,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.219 frente a spa 0.008; palabras: the of and in to a for with,ADMITIDO,3346,,Journal of cystic fibrosis,CYstic Fibrosis bacterioPHage study at Yale (CYPHY)
R995494cde1,52,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.279 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,911,,https://clinicaltrials.gov/show/NCT04684641,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY)
R46ad854611,52,eng,ficha de registro de ensayo: el registro publica en ingles,(indeterminado),D. politica de idioma del registro,42 CFR 11 y la politica de la NLM exigen que el registro se presente en ingles,ADMITIDO,0,,,CYstic Fibrosis bacterioPHage Study at Yale (CYPHY)
R067acd0a39,53,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.162 frente a spa 0.009; palabras: the of and in to a for with,ADMITIDO,1484,,"Antibiotics (Basel, Switzerland)",Phage-Antibiotic Combination Therapy against Recurrent Pseudomonas Septicaemia in a Patient with an Arterial S
Rb03837dd03,54,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.192 frente a spa 0.008; palabras: the of and in to a for with,ADMITIDO,907,,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",Bacteriophage Therapy for Chronic Mastoiditis.
Rd343ee57dd,55,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.266 frente a spa 0.000; palabras: the of and in to a for with,ADMITIDO,2478,,Current Urology,Bacteriophage therapy in women with chronic recurrent cystitis caused by multidrug-resistant bacteria: A prosp
R66c7c93018,56,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.275 frente a por 0.005; palabras: the of and in to a for with,ADMITIDO,7967,,https://clinicaltrials.gov/study/NCT06870409,Bacteriophages in Addition to Antibiotics for the Treatment of Patients with Infective Endocarditis
R5b4b3e9cf3,56,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.385 frente a spa 0.000; palabras: the of in to for with patients treatment,ADMITIDO,0,,,Bacteriophages in Addition to Antibiotics for the Treatment of Patients With Infective Endocarditis
Rd428980732,57,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.206 frente a por 0.015; palabras: the of and to a for with is,ADMITIDO,399,,Viruses,Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection.
R1705a32c41,58,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.163 frente a por 0.010; palabras: the of and in to a with was,ADMITIDO,1394,,ASM case reports,Resolution of acute rejection in a bilateral double-lung transplanted cystic fibrosis patient following phage 
R1add858cdd,59,eng,exportacion de Scopus (brazo A) (campo de idioma),eng,A. texto probado,eng 0.254 frente a spa 0.005; palabras: the of and in to a with was,ADMITIDO,1337,,Infektsionnye Bolezni,Anti-phage antibody response in phage therapy against healthcare-associated infections (HAIs)
Rd3d851640e,60,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.268 frente a por 0.012; palabras: the of and in to a for with,ADMITIDO,1663,,Viruses,Clinical Indications and Compassionate Use of Phage Therapy: Personal Experience and Literature Review with a 
R85f6503e9a,61,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.179 frente a spa 0.005; palabras: the of and in to a for with,ADMITIDO,1540,,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Early clinical experience of bacteriophage therapy in 3 lung transplant recipients.
Rb506e81130,62,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.173 frente a por 0.004; palabras: the of and in to a for with,ADMITIDO,1533,,Nature Communications ,Bacteriophage-antibiotic combination therapy against extensively drug-resistant Pseudomonas aeruginosa infecti
R436ad33f7e,63,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.221 frente a por 0.011; palabras: the of and in to a for with,ADMITIDO,2525,,BMJ open respiratory research,"Single-arm, open-labelled, safety and tolerability of intrabronchial and nebulised bacteriophage treatment in "
Rb93cd3cbd9,64,eng,Europe PMC (campo language),eng,B. campo de idioma de la fuente,Europe PMC (campo language) declara eng; texto insuficiente para corroborar (eng 0.062 frente a spa 0.062: margen escaso),ADMITIDO,23,,International journal of antimicrobial agents,Adjunctive bacteriophage therapy for refractory/resistant Pseudomonas aeruginosa infections: Bottlenecks and p
Rdfeb34f4ef,65,eng,exportacion de Scopus (brazo B) (campo de idioma),eng,B. campo de idioma de la fuente,exportacion de Scopus (brazo B) (campo de idioma) declara eng; texto insuficiente para corroborar (eng 0.077 frente a spa 0.077: margen escaso),ADMITIDO,23,Tratamiento exitoso con fagoterapia en una paciente con infe,Enfermedades Infecciosas y Microbiologia Clinica,Successful phage therapy in a patient with prosthetic joint infection
R9a7778c237,66,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.274 frente a spa 0.000; palabras: the of and in to a for is,ADMITIDO,572,,https://clinicaltrials.gov/show/NCT04323475,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients
Rced39d2e31,66,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.308 frente a spa 0.000; palabras: the of and in for patients treatment,ADMITIDO,0,,,Phage Therapy for the Prevention and Treatment of Wound Infections in Burned Patients
R93635b599b,68,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.140 frente a spa 0.000; palabras: the of and in to a with study,ADMITIDO,391,,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2023-507203-55-00,"A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluat"
R3bdd2fe777,69,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.126 frente a spa 0.000; palabras: the of and in to a with study,ADMITIDO,497,,https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2022-503145-22-00,"A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate"
R92876627c6,70,eng,Europe PMC (campo language),eng,A. texto probado,eng 0.264 frente a por 0.014; palabras: the of and in to a for with,ADMITIDO,1773,,Open Forum Infectious Diseases,Compassionate Use of Bacteriophages for Failed Persistent Infections During the First 5 Years of the Israeli P
R2e350dba66,71,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.195 frente a por 0.006; palabras: the of and in to a for with,ADMITIDO,2150,,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20230701058628N1,Investigating phage therapy in the prevention of ventilator-induced bacterial pneumonia in patients admitted t
R63f460ad1a,72,eng,Cochrane CENTRAL indexa titulo y resumen en ingles,eng,A. texto probado,eng 0.236 frente a por 0.003; palabras: the of and in to a for with,ADMITIDO,2134,,https://clinicaltrials.gov/study/NCT06605651,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infectio
R6cfa72b38c,72,eng,ficha de registro de ensayo: el registro publica en ingles,eng,A. texto probado,eng 0.269 frente a spa 0.000; palabras: of and in to by study,ADMITIDO,0,,,Proof of Concept Study to Assess Safety and Efficacy of Phage Therapy in Hip or Knee Prosthetic Joint Infectio
