record_id,orden,corriente,verdict,reason,decided_by,decided_at
R6556b80259,72,base,FULLTEXT,"case: pediatric refractory MDR P. aeruginosa bacteraemia, 2-phage cocktail","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R30e4263f97,74,base,FULLTEXT,no abstract; title reports phage therapy of ventilator-associated pneumonia and empyema,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R239f702d9a,75,base,FULLTEXT,first 10 consecutive intravenous phage therapy cases at one centre,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rf29fc741e7,80,base,FULLTEXT,"randomised placebo-controlled trial protocol, single intravenous dose, ~72 adults with cystic fibrosis","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R91ba44e4e5,88,base,FULLTEXT,case report: pan-resistant P. aeruginosa septic shock in a critically ill patient,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R02b1e109ec,95,base,FULLTEXT,retrospective descriptive study of three patients at the Eliava centre,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R5b72edadd2,99,base,FULLTEXT,case: refractory bronchopulmonary infection after lung transplant for common variable immunodeficiency,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R7e46934a02,104,base,FULLTEXT,Yale emergency phage therapy preparation pipeline; programme report with treated patients,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R35b74982e8,110,base,FULLTEXT,two cases: perinephric abscess in kidney transplant recipients,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R2105e151c4,111,base,FULLTEXT,"case: calciphylaxis with NDM-1 P. aeruginosa, cefepime-zidebactam alongside phage","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rf4a46a9238,112,base,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rdcfed12d81,116,base,FULLTEXT,case: recalcitrant intra-abdominal MDR infection in a paediatric patient,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rb2ced3ce85,121,base,FULLTEXT,no abstract; title reports phage treatment of septicaemia in a named patient,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Red52d0884d,122,base,FULLTEXT,case: chronic relapsing periprosthetic joint infection and femoral osteomyelitis,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rcdf0cd1678,125,base,FULLTEXT,"case: 62-year-old, chronic hip prosthetic joint infection, phage with meropenem","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R0785077af4,128,base,FULLTEXT,lung transplant recipient on adjunctive phage; phage-specific CD4 T cells and immunoglobulin,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R50e1887412,130,base,FULLTEXT,PHAGEinLYON programme; all 2022 phage therapy requests collected prospectively,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R067acd0a39,135,base,FULLTEXT,"case: recurrent Pseudomonas septicaemia with arterial stent, phage-meropenem","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rb03837dd03,137,base,FULLTEXT,"case: 47-year-old, intratympanic phage for chronic mastoiditis from MDR P. aeruginosa","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rd563210071,139,base,EXCLUDE,narrative review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rd428980732,141,base,FULLTEXT,"case: recurrent P. aeruginosa Bentall endocarditis, phage as rescue","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R1705a32c41,142,base,FULLTEXT,case: acute rejection resolved in a bilateral lung transplant recipient after phage,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R74bbdc17bb,145,base,EXCLUDE,narrative review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R02681511a0,146,base,EXCLUDE,narrative review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R85f6503e9a,156,base,FULLTEXT,case series: three lung transplant recipients with MDR infections,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rb506e81130,169,base,FULLTEXT,case: XDR P. aeruginosa infection treated to allow liver transplantation,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R436ad33f7e,181,base,FULLTEXT,"single-arm open-label trial, intrabronchial and nebulised phage in children with cystic fibrosis","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rb93cd3cbd9,185,base,FULLTEXT,"no abstract; cannot be judged, advanced rather than excluded","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R3d9c41d5ac,212,base,EXCLUDE,narrative or systematic review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R607037aeaa,253,base,FULLTEXT,clinical study of phage therapy in chronic non-healing wound,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R93e07521e9,259,base,FULLTEXT,cardiothoracic surgical infections treated with phage,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rf41ce1f437,278,base,FULLTEXT,"retrospective series: five ventricular assist device infections, ineffective phage therapy","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R2768d2659e,299,base,EXCLUDE,secondary synthesis (systematic or scoping review); usable for citation-chasing but not a primary study,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rbcb0bd26fd,324,base,FULLTEXT,transplant infection review citing recent published cases; possible case source,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R3f6eb49e93,355,base,EXCLUDE,narrative or systematic review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R188612f054,359,base,FULLTEXT,first-in-human dsRNA phage phiYY in a 40-year-old with interstitial lung disease,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rc8ff79c3d5,414,base,FULLTEXT,pharmacodynamic individualisation against a KPC-5-producing isolate; clinical assessment,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rfc0fff7284,418,base,FULLTEXT,"case: refractory mediastinitis and vascular graft infection, bespoke phage-antibiotic","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Ra1f20b8500,436,base,FULLTEXT,adjunctive phage in a 7-year-old with chronic P. aeruginosa osteoarticular infection,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rad03dbff94,525,base,FULLTEXT,no abstract; title reports XDR P. aeruginosa bone and joint infection with local phage,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R4c045cf31e,529,base,FULLTEXT,case: prosthetic vascular graft infection treated with phage,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rf9e8793e57,613,base,FULLTEXT,"case: 3-month-old girl, severe bronchitis after tracheostomy, consecutive phage and antibiotics","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rb9ec93cff9,686,base,FULLTEXT,QAMH programme report on processing phage therapy requests; may carry patient outcomes,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Re6bb7aa443,768,base,EXCLUDE,narrative or systematic review with no primary patient data of its own,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Ra969af6438,772,base,FULLTEXT,"case: left ventricular assist device infection, phage-antibiotic combination","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R495e188248,793,base,FULLTEXT,title was a placeholder; abstract confirms a case report of chronic relapsing prosthetic aortic graft infection treated with two lytic antipseudomonal phages,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Reba6a0e48c,894,base,FULLTEXT,adapted phages for urinary tract infection; abstract does not settle whether patients were treated,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R286533ffbf,979,base,FULLTEXT,polyvalent pyobacteriophage in 30 intensive-care patients with nosocomial sinusitis,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
Rd7ea09ed5c,2304,base,FULLTEXT,"safety, tolerability and potential efficacy of bronchoscopic and nebulised phage administration","heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R950d0ccc67,4035,base,EXCLUDE,human subjects but not P. aeruginosa infection treated with phage,"heredada del brazo por PMID (claude-opus-5 (abstract stage, LLM-assisted; pending human verification))",2026-08-05 22:23
R55112b0914,8,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rd8129eda1c,13,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R28423b4c7c,16,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R1283b43e8a,22,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R793249bfc4,26,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rb142a5ed7d,34,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R7b2a90b3b7,45,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Refd51ea317,46,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R8a3bc1100e,55,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R154a4d73a3,57,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R81e3ce4d79,59,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R0a69ad3198,61,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rc29fe2424c,63,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rad7d40f6e0,68,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R81f1d1c8cd,69,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R8e9df36288,78,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Re500315433,83,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R73ebf766af,93,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R6af434b8ab,94,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R146b3e2f13,97,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R363a2dea21,101,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rc4889b04ba,103,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R786d185312,120,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R79b5603bcb,131,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R9c54b30733,132,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rd343ee57dd,138,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R66c7c93018,140,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R205facad9c,144,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R1add858cdd,151,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R20aeab326d,153,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rd3d851640e,154,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rf4bd7736b3,155,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R04ceacf139,162,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R24e314ef3b,174,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rbc912d0c25,179,base,EXCLUDE,Sintesis secundaria (revision sistematica o scoping),"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Raf56eb15fd,184,base,EXCLUDE,"No evalua fagoterapia en pacientes (encuesta, epidemiologia, prensa, otra terapia)","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R2b8d09a235,188,base,EXCLUDE,Sintesis secundaria (revision sistematica o scoping),"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
Rdfeb34f4ef,193,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R8ce8ef7546,197,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R0496a4bb02,198,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:25
R9a7778c237,207,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Ra452a89898,210,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rd3e6b7531f,213,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R93635b599b,216,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R3bdd2fe777,217,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rcea9abc521,218,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rdd0e4fa658,219,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R92876627c6,220,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rf59c46bc73,221,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R2e350dba66,222,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Re47d2e9383,227,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R63f460ad1a,230,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R71b87ec1f2,231,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R37a5f82ac0,234,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Ra1e1bcb247,254,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R7217180e58,258,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R4e80e5028d,264,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Re596c8bd2a,269,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rcc3adc1532,272,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R66891a5069,274,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R5b8ba0cf2c,282,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rb8199cd755,283,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R51b94c189b,285,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Re9fa49ae6d,288,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Re398a135c1,295,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R41767b7368,296,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rde30f4212d,321,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R5e2a0a085b,323,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Ra27f5e9de1,329,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Ra669243a04,336,base,FULLTEXT,cumple criterios aparentes; verificar en texto completo,"claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rc80438c039,343,base,EXCLUDE,"Trabajo de laboratorio, preclinico o de modelizacion; sin pacientes tratados","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
Rc6e0bf55a4,346,base,EXCLUDE,"Revision narrativa o comentario, sin datos primarios propios","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R916f8071c2,349,base,EXCLUDE,"No evalua fagoterapia en pacientes (encuesta, epidemiologia, prensa, otra terapia)","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
R70a4408081,350,base,EXCLUDE,"Organismo distinto de P. aeruginosa, sin subgrupo separable","claude-opus-5 (revisor unico, sin duplicacion)",2026-08-05 22:45
