orden,record_id,tipo,identificador_resuelto,via,nota,duplicado_interno,titulo,revista,anio,fuentes
217,R3bdd2fe777,ficha de registro (ICTRP),CTIS2022-503145-22-00,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,"A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of an inhaled (nebulized) phage cocktail in healthy subjects and in patients with chronic colonization of the lung with Pseudomonas aeruginosa",https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2022-503145-22-00,2023,Cochrane CENTRAL
218,Rcea9abc521,resumen de congreso,NCT04684641,informe de un ensayo ya identificado,CYPHY: título idéntico al informe R64f4b4a1a4,duplicado probable de la posición 699 (solapamiento 1.00),CYstic Fibrosis bacterioPHage study at Yale (CYPHY),Journal of cystic fibrosis,2023,Cochrane CENTRAL
219,Rdd0e4fa658,artículo,NCT04684641,informe de un ensayo ya identificado,CYPHY: título idéntico al informe R64f4b4a1a4,duplicado probable de la posición 699 (solapamiento 1.00),CYstic Fibrosis bacterioPHage study at Yale (CYPHY),Journal of cystic fibrosis,2023,Cochrane CENTRAL
222,R2e350dba66,ficha de registro (ICTRP),IRCT20230701058628N1,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Investigating phage therapy in the prevention of ventilator-induced bacterial pneumonia in patients admitted to the pediatric intensive care unit,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20230701058628N1,2023,Cochrane CENTRAL
231,R71b87ec1f2,resumen de congreso,NCT05010577,informe de un ensayo ya identificado,el resumen nombra BX004-A (J Cyst Fibros 2024),,"Safety and efficacy of nebulized phage in people with cystic fibrosis with chronic Pseudomonas aeruginosa pulmonary infection: a phase 1b/2a randomized, double-blind, placebo-controlled, multicenter study",Journal of cystic fibrosis,2024,Cochrane CENTRAL
288,Re9fa49ae6d,resumen de congreso,,cita: Int J Diabetes Dev Ctries 2025,comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,Efficacy of Bacteriophage Therapy in the Treatment of Diabetic Foot Ulcers: a Pilot Study from South India,International journal of diabetes in developing countries,2025,Cochrane CENTRAL
362,R9d091cf924,artículo,10.1016/j.jddst.2023.104486,informe de un ensayo ya identificado,mismo título que su informe hermano,duplicado probable de la posición 361 (solapamiento 1.00),Inhalation phage therapy as a new approach to preventing secondary bacterial pneumonia in patients with moderate to severe COVID-19: a double-blind clinical trial study,Journal of drug delivery science and technology,2023,Cochrane CENTRAL
386,R99c5855b1c,artículo,,cita: Pharmaceutisch Weekblad 2025,comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,"'Bacteriophage therapy, a solution for increasing antibiotic resistance'. UMC Utrecht treats a patient with bacteriophage for the first time; [IBACTERIOFAAGTH ERAPI E UITKOMST BIJ TOENAME VAN ANTI BIOTI CARESISTENTI EI]",Pharmaceutisch Weekblad,2025,Scopus (brazo B)
464,R96667a0c25,ficha de registro (ICTRP),ACTRN12623000542695,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Evaluation of safety and effectiveness of a nebulised phage cocktail in patients with chronic rhinosinusitis (CRS),https://trialsearch.who.int/Trial2.aspx?TrialID=ACTRN12623000542695,2023,Cochrane CENTRAL
500,Rc16af7be8b,ficha de registro (ICTRP),ChiCTR2600122738,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,"A randomized, double-blind clinical trial of phage nebulized inhalation for the treatment of respiratory tract infections caused by multi-drug resistant Pseudomonas aeruginosa",https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600122738,2026,Cochrane CENTRAL
727,R910cda929d,ficha de registro (ICTRP),IRCT20111224008507N6,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Phage therapy for prevention of secondary bacterial pneumonia in COVID-19,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20111224008507N6,2021,Cochrane CENTRAL
739,R36f8e8613e,resumen de congreso,NCT04803708,informe de un ensayo ya identificado,el resumen evalúa TP-102 en pie diabético (OFID 2022),,Assessing the safety of TP-102 bacteriophage treatment in the management of diabetic foot infections,Open forum infectious diseases,2022,Cochrane CENTRAL
786,Ra4e9fbb2ff,artículo,10.4103/ijpam.ijpam_1_24,informe de un ensayo ya identificado,mismo título que su informe hermano,duplicado probable de la posición 787 (solapamiento 1.00),Application of bacteriophage therapy in the treatment of children with acute tonsillitis,International journal of pediatrics and adolescent medicine,2024,Cochrane CENTRAL
890,Raa2e529a17,resumen de congreso,,cita: Eur Urol Suppl 2016 (informe previo del grupo de Leitner),comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,Phage therapy for the treatment for urinary tract infection: results of in-vitro screenings and in-vivo application using commercially available bacteriophage cocktails,"European urology, supplements",2016,Cochrane CENTRAL
902,R35097ad062,resumen de congreso,pmid:30131795,informe de un ensayo ya identificado,mismo título que el informe indexado del mismo grupo,duplicado probable de la posición 896 (solapamiento 1.00),Adapted bacteriophages for treating urinary tract infections,"European urology, supplements",2019,Cochrane CENTRAL
997,R0afae6295c,ficha de registro (CTIS),PHRC-N/2015/AS-01,portal CTIS / EudraCT por código de protocolo,código extraído del título,,PHRC-N/2015/AS-01 - Comparison of the efficacy of standard treatment associated with phage therapy versus standard treatment plus placebo for diabetic foot ulcers infected by Staph,,,CTIS
1143,Rcb6a2ca7d4,artículo,,cita: Jpn J Clin Ophthalmol 2021,comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,Bacteriophage therapy for bacterial endophthalmitis,Japanese Journal of Clinical Ophthalmology,2021,Scopus (brazo B)
1149,R45e6601a0b,ficha de registro (ICTRP),CTRI/2021/12/038527,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Chronic non healing ulcer and bacteriophage therapy,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2021/12/038527,2021,Cochrane CENTRAL
1336,R717df5fd85,ficha de registro (ICTRP),ChiCTR2400094545,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Study to phages for prevention and treatment of difficult-to-treat resistant Pseudomonas aeruginosa infection,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2400094545,2024,Cochrane CENTRAL
1623,Rab18b3d474,ficha de registro (ICTRP),ChiCTR2500099778,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Efficacy and safety of bacteriophage in treating severe drug-resistant lower respiratory tract infections in children: a randomized controlled trial,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500099778,2025,Cochrane CENTRAL
1634,Rbc25e976cb,ficha de registro (ICTRP),CTIS2024-519856-94-00,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,"Phase 2b Randomized, Double-Blind Study with Phage for CF Subjects with Pseudomonas Lung Infection",https://trialsearch.who.int/Trial2.aspx?TrialID=CTIS2024-519856-94-00,2025,Cochrane CENTRAL
2024,R91b5b8d9ef,ficha de registro (ICTRP),ChiCTR2600125813,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,duplicado probable de la posición 653 (solapamiento 0.85),A Randomized Controlled Trial on the Safety and Efficacy of Phage Cocktail Therapy for Multidrug-Resistant Bacterial Skin Infections,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600125813,2026,Cochrane CENTRAL
2047,R509b5448ca,ficha de registro (ICTRP),KCT0011717,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,duplicado probable de la posición 2044 (solapamiento 0.86),Phase 1 Study of MP101 in Adults With Acute Pseudomonas aeruginosa Pneumonia,https://trialsearch.who.int/Trial2.aspx?TrialID=KCT0011717,2026,Cochrane CENTRAL
2623,R21af282137,ficha de registro (ICTRP),CTRI/2023/11/059899,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Study to assess the Safety and Efficacy of Bacteriophage in the treatment of Diabetic foot infection,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2023/11/059899,2023,Cochrane CENTRAL
2761,R4a198d51c5,artículo,,cita: Surgical Chronicles 2016,comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,Use of bacteriophages in the treatment of infected wounds in patients who have allergy to antibiotics,Surgical Chronicles,2016,Scopus (brazo B)
2892,R326c83d964,resumen de congreso,NCT03140085,informe de un ensayo ya identificado,resultados del ECA de Leitner en RTUP; publicado como PMID 28950849,duplicado probable de la posición 1020 (solapamiento 0.94),"Intravesical bacteriophages for treating urinary tract infections in patients undergoing transurethral resection of the prostate: a randomized, placebo-controlled, double-blind clinical trial","European urology, supplements",2019,Cochrane CENTRAL
3927,R82ba22a1d4,ficha de registro (CTIS),Phage4Cure-001,portal CTIS / EudraCT por código de protocolo,código extraído del título,,"Phage4Cure-001 - A three part randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy o",,,CTIS
3928,Rc6b6f2d004,ficha de registro (CTIS),Phage4Cure-001,portal CTIS / EudraCT por código de protocolo,código extraído del título,,"Phage4Cure-001 - A two part, randomized, double-blind, placebo-controlled, parallel group SAD and MD clinical study to evaluate the safety, tolerability and preliminary efficacy of",,,CTIS
4064,R95ed8fa775,resumen de congreso,,cita: Nephrol Dial Transplant 2020 (resumen de congreso),comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,Potential treatment method of recurrent urinary tract infection in postmenopausal kidney transplant recipients: the results of pilot study,Nephrology dialysis transplantation,2020,Cochrane CENTRAL
4415,R03a7447506,ficha de registro (ICTRP),ChiCTR2600116642,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Phage-Antibiotic Combination Therapy for Multidrug-Resistant Infections: a Prospective Study,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2600116642,2026,Cochrane CENTRAL
4435,R3608cade6a,ficha de registro (EudraCT),NCT05010577,informe de un ensayo ya identificado,ficha EudraCT del mismo Ph1b/2a de BX004 nebulizado en FQ,,"A Phase 1b/2a, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subjects with Chronic Pseudomon...",,,EudraCT
4436,Rb4a8aeb7e8,ficha de registro (CTIS),BMX-04-002,portal CTIS / EudraCT por código de protocolo,código extraído del título,,"BMX-04-002 - A Phase 2b, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate Nebulized Bacteriophage Treatment in Outpatient Adult Cystic Fibrosis (CF) Subj",,,CTIS
4902,R9e51826497,artículo,,cita: Rev Cubana Angiol Cir Vasc 2017,comprobado contra PubMed el 2026-08-05: no indexado; no tiene PMID que buscar,,Beneficios obtenidos con el empleo de bacteriófagos en el tratamiento de infecciones crónicas,Revista Cubana de Angiología y Cirugía Vascular,2017,BVS (no MEDLINE); SciELO
6120,R07e092ec2e,ficha de registro (ICTRP),IRCT20250108064318N1,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,The effect of Bacteriophage on Diabetic foot Ulcers,https://trialsearch.who.int/Trial2.aspx?TrialID=IRCT20250108064318N1,2025,Cochrane CENTRAL
9871,R5dd521bed2,ficha de registro (ICTRP),CTRI/2024/03/064013,trialsearch.who.int / registro nacional,el identificador venía en el campo journal del propio registro,,Evaluate the effect of bacteriophage in pressure ulcers,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2024/03/064013,2024,Cochrane CENTRAL
