study_id,arm_id,campo,valor_Danny_Valdiviezo,valor_Nataly_Trelles,tipo,resolucion,resuelto_por,fecha
EST-005,A,microbio_eradication_n,1.0,0.0,numérico,,,
EST-006,A,microbio_eradication_n,1.0,0.0,numérico,,,
EST-007,A,microbio_eradication_n,1.0,0.0,numérico,,,
EST-008,A,microbio_eradication_n,9.0,0.0,numérico,,,
EST-013,A,microbio_eradication_n,0.0,1.0,numérico,,,
EST-014,A,microbio_eradication_n,,1.0,numérico,,,
EST-015,A,microbio_eradication_n,,1.0,numérico,,,
EST-016,A,microbio_eradication_n,,1.0,numérico,,,
EST-003,A,mortality_n,Na,0.0,numérico,,,
EST-003,D,mortality_n,1.0,0.0,numérico,,,
EST-014,A,mortality_n,,0.0,numérico,,,
EST-015,A,mortality_n,,0.0,numérico,,,
EST-016,A,mortality_n,,0.0,numérico,,,
EST-006,A,los_days,2 meses,NA,numérico,,,
EST-014,A,los_days,,Na,numérico,,,
EST-015,A,los_days,,Na,numérico,,,
EST-016,A,los_days,,Na,numérico,,,
EST-007,A,resistance_emergence_n,Na,FA,numérico,,,
EST-013,A,resistance_emergence_n,1.0,Si,numérico,,,
EST-014,A,resistance_emergence_n,,Na,numérico,,,
EST-015,A,resistance_emergence_n,,Na,numérico,,,
EST-016,A,resistance_emergence_n,,Na,numérico,,,
EST-017,A,resistance_emergence_n,,Na,numérico,,,
EST-012,A,publication_year,2026.0,2025.0,numérico,,,
EST-014,A,publication_year,,2022.0,numérico,,,
EST-015,A,publication_year,,2022.0,numérico,,,
EST-016,A,publication_year,,2022.0,numérico,,,
EST-001,A,clinical_success_definition,"Los datos actuales sugieren que el procedimiento PhagoDAIR por artroscopia tiene el potencial de ser utilizado como terapia de rescate para pacientes con P. aeruginosa PJI recidivante, en combinación con terapia antimicrobiana supresora. Un estudio clínico de fase II merece ser realizado para confir","Los datos actuales sugieren que el procedimiento PhagoDAIR por artroscopia tiene el potencial de utilizarse como terapia de rescate para pacientes con infección periprotésica recurrente por P. aeruginosa , en combinación con terapia antimicrobiana supresora. Se justifica realizar un estudio clínico ",texto (no puntuado),,,
EST-002,A,clinical_success_definition,"En conclusión, en las infecciones complejas por P. aeruginosa, la elección de la terapia antibiótica y su duración son cruciales para minimizar la presión antibiótica y el desarrollo de la resistencia. Aunque no hemos demostrado que el tratamiento con fagos haya sido efectivo en este caso, el estudi","En conclusión, en infecciones complejas por P. aeruginosa, la elección del tratamiento antibiótico y su duración son cruciales para minimizar la presión antibiótica y el desarrollo de resistencia. Si bien no hemos demostrado la eficacia del tratamiento con fagos en este caso, el estudio de los mecan",texto (no puntuado),,,
EST-003,A,clinical_success_definition,"En conclusión, parece que para los pacientes con infecciones persistentes por P. aeruginosa para los que la terapia convencional previa ha fracasado, el bacteriófago PASA16 puede ofrecer una opción de tratamiento razonable y segura, aunque se necesitan estudios prospectivos más amplios para definir ",Se ha observado que el tratamiento con PASA16 y antibióticos resulta relativamente eficaz en pacientes en los que los tratamientos tradicionales habían fracasado previamente. Estas cohortes previas a la fase 1 pueden servir de base para posibles protocolos clínicos y facilitar el diseño de futuros e,texto (no puntuado),,,
EST-003,C,clinical_success_definition,"En conclusión, parece que para los pacientes con infecciones persistentes por P. aeruginosa para los que la terapia convencional previa ha fracasado, el bacteriófago PASA16 puede ofrecer una opción de tratamiento razonable y segura, aunque se necesitan estudios prospectivos más amplios para definir ",Se ha observado que el tratamiento con PASA16 y antibióticos resulta relativamente eficaz en pacientes en los que los tratamientos tradicionales habían fracasado previamente. Estas cohortes previas a la fase 1 pueden servir de base para posibles protocolos clínicos y facilitar el diseño de futuros e,texto (no puntuado),,,
EST-003,D,clinical_success_definition,"En conclusión, parece que para los pacientes con infecciones persistentes por P. aeruginosa para los que la terapia convencional previa ha fracasado, el bacteriófago PASA16 puede ofrecer una opción de tratamiento razonable y segura, aunque se necesitan estudios prospectivos más amplios para definir ",Se ha observado que el tratamiento con PASA16 y antibióticos resulta relativamente eficaz en pacientes en los que los tratamientos tradicionales habían fracasado previamente. Estas cohortes previas a la fase 1 pueden servir de base para posibles protocolos clínicos y facilitar el diseño de futuros e,texto (no puntuado),,,
EST-003,E,clinical_success_definition,"En conclusión, parece que para los pacientes con infecciones persistentes por P. aeruginosa para los que la terapia convencional previa ha fracasado, el bacteriófago PASA16 puede ofrecer una opción de tratamiento razonable y segura, aunque se necesitan estudios prospectivos más amplios para definir ",Se ha observado que el tratamiento con PASA16 y antibióticos resulta relativamente eficaz en pacientes en los que los tratamientos tradicionales habían fracasado previamente. Estas cohortes previas a la fase 1 pueden servir de base para posibles protocolos clínicos y facilitar el diseño de futuros e,texto (no puntuado),,,
EST-004,A,clinical_success_definition,"En resumen, este estudio evaluó el impacto de la terapia de fagos nebulizados complementarios para MDR y PDR PsA en una cohorte de casos compasivos en pwCF. Si bien el número de pacientes es limitado, la nebulización de fagos fue bien tolerada, y los resultados mostraron que un enfoque de terapia co","Estos resultados demuestran que una estrategia de terapia fágica nebulizada personalizada puede afectar a los resultados clínicos y microbiológicos, que deben evaluarse en ensayos clínicos más amplios.",texto (no puntuado),,,
EST-004,B,clinical_success_definition,"En resumen, este estudio evaluó el impacto de la terapia de fagos nebulizados complementarios para MDR y PDR PsA en una cohorte de casos compasivos en pwCF. Si bien el número de pacientes es limitado, la nebulización de fagos fue bien tolerada, y los resultados mostraron que un enfoque de terapia co","Estos resultados demuestran que una estrategia de terapia fágica nebulizada personalizada puede afectar a los resultados clínicos y microbiológicos, que deben evaluarse en ensayos clínicos más amplios.",texto (no puntuado),,,
EST-005,A,clinical_success_definition,"Dada la preocupación por las infecciones por MDR P. aeruginosa en pacientes con FQ, BT puede ofrecer un complemento antiinfeccioso viable a la terapia antibiótica tradicional.","Dada la preocupación por las infecciones por P. aeruginosa multirresistente en pacientes con fibrosis quística, la BT podría ofrecer un complemento antiinfeccioso viable a la terapia antibiótica tradicional.",texto (no puntuado),,,
EST-006,A,clinical_success_definition,"En este caso, el efecto sinérgico de la administración de fagos y las dosis más bajas de antibióticos podrían haber sido la razón del resultado positivo. Los fagos permitieron dosis más bajas de antibióticos y redujeron sus toxicidades, que eran graves y no controlaban la colonización respiratoria. ",La inmunoestimulación también puede influir en el resultado. Facilitar el uso de la fagoterapia por razones humanitarias es el primer paso antes de realizar ensayos clínicos para demostrar su valor añadido en esta indicación. Este tratamiento adaptado al paciente fue posible gracias a la baja respue,texto (no puntuado),,,
EST-007,A,clinical_success_definition,"La experiencia con la terapia con fagos está creciendo, y la mayoría de los casos no han reportado efectos secundarios adversos graves, como en el caso presentado aquí [14]. La personalización de la terapia con fagos, que combina múltiples vías de administración, es necesaria para lograr una exposic","La administración de fagos en múltiples sitios es una estrategia de tratamiento personalizada que puede prevenir la recaída o la aparición de resistencia antimicrobiana adicional en casos complejos, como la osteítis recurrente por P. aeruginosa multirresistente",texto (no puntuado),,,
EST-008,A,clinical_success_definition,,NA,texto (no puntuado),,,
EST-010,A,clinical_success_definition,"En el presente caso, un factor limitante fue el tiempo para examinar, producir y purificar los bacteriófagos (en total 3 meses) antes de que se pudiera administrar al paciente un cóctel de fagos premontado, personalizado y dirigido como adyuvante para la cirugía y los antibióticos. En consecuencia, ","Algunos pacientes fueron tratados con fagos en desarrollo por compañías privadas, y otros fueron tratados por estructuras académicas, debido a la falta de disponibilidad o la falta de actividad de los fagos en desarrollo 8 , 9 , 10 , 11 , 12 , 13 . A pesar de no poder determinar con precisión la con",texto (no puntuado),,,
EST-011,A,clinical_success_definition,"En general, el paciente estaba infectado con P. aeruginosa multirresistente, lo que resultó en síntomas potencialmente mortales. Después de la terapia con fagos personalizada, la infección del paciente mejoró significativamente, con la normalización de los marcadores inflamatorios y la mejora de las",Esta investigación subraya la importancia de comprender las complejas interacciones entre fagos y bacterias para optimizar las estrategias de terapia fágica.,texto (no puntuado),,,
EST-012,A,clinical_success_definition,"El tratamiento con terapia intermitente con bacteriófagos solo sin antibióticos durante un período de 2 años resultó en la resolución clínica de la infección, pero no en la erradicación microbiológica. La terapia con bacteriófagos estableció este control, en parte, alterando la virulencia definida p","Después de la terapia con bacteriófagos, una disminución fenotípica en

PAG. aeruginosa

Se observó virulencia. Esto fue

observado por un aumento estadísticamente significativo en

C. elegans

supervivencia y motilidad reducida después de un largo período

tratamiento con fagos. Una pérdida de viru",texto (no puntuado),,,
EST-013,A,clinical_success_definition,"Después de que el paciente se sometiera al curso inicial de la terapia con cóctel de fagos dsDNA, se observó la aparición de mutantes de P.aeruginosa totalmente resistentes a los fagos. Estos mutantes se caracterizaron por varias mutaciones que resultan en mutaciones de antígeno O, que pueden contri","este estudio de caso corrobora la seguridad de la terapia con fagos para las infecciones bacterianas y su capacidad para aliviar los síntomas de la infección, abriendo así nuevas vías en los enfoques terapéuticos. Para las infecciones crónicas y complejas, los bacteriófagos ofrecen una alternativa e",texto (no puntuado),,,
EST-014,A,clinical_success_definition,,Esta experiencia demuestra que un tratamiento antibiótico convencional combinado con terapia de bacteriófagos puede ser eficaz para aliviar una infección bacteriana multirresistente en el empiema asociado a la fístula broncopleural.,texto (no puntuado),,,
EST-015,A,clinical_success_definition,,"Este informe se suma a la creciente bibliografía que indica que la terapia con fagos puede ser un enfoque seguro y eficaz para complementar la terapia antibiótica en pacientes infectados con patógenos resistentes a los medicamentos. Además, resalta la importancia de la familia de β-lactamasas GES en",texto (no puntuado),,,
EST-016,A,clinical_success_definition,,"En este caso, el desbridamiento de la herida combinado con antibióticos y bacteriófagos resultó en la erradicación bacteriana del segmento femoral proximal, evitando la amputación de la pierna, pero no logró tratar la osteomielitis en el segmento óseo distal. Se realizó una evaluación in vitro de la",texto (no puntuado),,,
EST-003,D,journal_tier,alto,lalto,texto (no puntuado),,,
EST-008,A,journal_tier,,alto,texto (no puntuado),,,
EST-010,A,journal_tier,,alto,texto (no puntuado),,,
EST-015,A,journal_tier,medio,,texto (no puntuado),,,
EST-017,A,journal_tier,bajo,,texto (no puntuado),,,
EST-031,A,journal_tier,bajo,,texto (no puntuado),,,
EST-055,A,journal_tier,bajo,,texto (no puntuado),,,
EST-063,A,journal_tier,medio,,texto (no puntuado),,,
EST-093,A,journal_tier,medio,,texto (no puntuado),,,
EST-098,A,journal_tier,alto,,texto (no puntuado),,,
EST-101,A,journal_tier,medio,,texto (no puntuado),,,
EST-122,A,journal_tier,medio,,texto (no puntuado),,,
EST-140,A,journal_tier,alto,,texto (no puntuado),,,
EST-170,A,journal_tier,medio,,texto (no puntuado),,,
EST-004,A,geographic_source,Estados unidos,EEUU,texto (no puntuado),,,
EST-004,B,geographic_source,Estados unidos,EEUU,texto (no puntuado),,,
EST-005,A,geographic_source,Estados unidos,EEUU,texto (no puntuado),,,
EST-006,A,geographic_source,Francia,Europa,texto (no puntuado),,,
EST-008,A,geographic_source,Estados unidos,EEUU,texto (no puntuado),,,
EST-012,A,geographic_source,Estados Unidos,EEUU,texto (no puntuado),,,
EST-014,A,geographic_source,,China,texto (no puntuado),,,
EST-015,A,geographic_source,,EEUU,texto (no puntuado),,,
EST-016,A,geographic_source,,Francia,texto (no puntuado),,,
EST-003,A,extraction_citation,Tabla 4. Descripción general de los 16 casos de terapia con bacteriófagos PASA16,tabla 4,texto (no puntuado),,,
EST-003,C,extraction_citation,Tabla 4. Descripción general de los 16 casos de terapia con bacteriófagos PASA16,tabla 4,texto (no puntuado),,,
EST-003,D,extraction_citation,Tabla 4. Descripción general de los 16 casos de terapia con bacteriófagos PASA16,tabla 4,texto (no puntuado),,,
EST-003,E,extraction_citation,Tabla 4. Descripción general de los 16 casos de terapia con bacteriófagos PASA16,tabla 4,texto (no puntuado),,,
EST-004,A,extraction_citation,Tabla 2 Terapia personalizada con fagos,tabla 1,texto (no puntuado),,,
EST-004,B,extraction_citation,Tabla 2 Terapia personalizada con fagos,Tabla 1,texto (no puntuado),,,
EST-005,A,extraction_citation,Hospital Course,evaluación hospitalaria,texto (no puntuado),,,
EST-006,A,extraction_citation,Tabla 1 figura 2,figura 1,texto (no puntuado),,,
EST-007,A,extraction_citation,Presentación del caso,figura 1B,texto (no puntuado),,,
EST-008,A,extraction_citation,Resultados,Resultado y discusión,texto (no puntuado),,,
EST-010,A,extraction_citation,Resultados,informe del caso,texto (no puntuado),,,
EST-012,A,extraction_citation,Resumen,informe del caso,texto (no puntuado),,,
EST-013,A,extraction_citation,Resultados,informe del caso,texto (no puntuado),,,
EST-014,A,extraction_citation,,informe breve resultado clínico,texto (no puntuado),,,
EST-015,A,extraction_citation,,resultados,texto (no puntuado),,,
EST-016,A,extraction_citation,,informe de caso,texto (no puntuado),,,
EST-001,A,incomplete_reason,Falta el antibiograma,antibiograma,texto (no puntuado),,,
EST-002,A,incomplete_reason,Na,fagograma,texto (no puntuado),,,
EST-005,A,incomplete_reason,Sin acceso completo,NA,texto (no puntuado),,,
EST-007,A,incomplete_reason,Sin acceso completo,NA,texto (no puntuado),,,
EST-008,A,incomplete_reason,Na,datos clínicos,texto (no puntuado),,,
EST-012,A,incomplete_reason,No open acces,,texto (no puntuado),,,
EST-014,A,incomplete_reason,,Na,texto (no puntuado),,,
EST-015,A,incomplete_reason,,na,texto (no puntuado),,,
EST-016,A,incomplete_reason,,Na,texto (no puntuado),,,
EST-017,A,incomplete_reason,,na,texto (no puntuado),,,
