id_provisional,arm_id,study_id,pathogen_scope,resistance_class,resistance_class_source,dtr_status,route,modality,study_design,extraction_status,n_arm,clinical_success_n,adverse_event_n,microbio_eradication_n,mortality_n,los_days,resistance_emergence_n,publication_year,clinical_success_definition,journal_tier,geographic_source,extraction_citation,incomplete_reason,alerta_microbiologia,alerta_revision,registrado_en
EST-011,A,,Pseudomonas-only,not-classifiable,not-classifiable,,inhaled/nebulized,,case report,PARTIAL,1,,,,,,1,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Resistente a carbapenemicos NO equivale a MDR: hacen falta tres categorias. Verificar el antibiograma antes de clasificar.,Aparecio resistencia al fago y aun asi mejoro. Util para el analisis de emergencia de resistencia.,2026-08-10 18:29
EST-012,A,,Pseudomonas-only,MDR,author-reported,,,phage monotherapy,case report,PARTIAL,1,1,,0,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Monoterapia con fago sin antibiotico durante dos anos. Poco frecuente y valioso para el estrato de monoterapia.,Resolucion clinica SIN erradicacion microbiologica. Es el caso que obliga a mantener separados los dos desenlaces.,2026-08-10 18:29
EST-013,A,,mixed-pathogen-with-Pseudomonas-subgroup,MDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,,,0,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Resistencia a los 100 fagos dsDNA de la biblioteca por mutacion en la biosintesis del LPS; segunda ronda con el fago dsRNA phiYY.,Infeccion polimicrobiana. Comprobar que los desenlaces atribuidos a P. aeruginosa se pueden separar de los demas.,2026-08-10 18:29
EST-014,A,,Pseudomonas-only,not-classifiable,not-classifiable,,,phage+antibiotic combination,case report,PARTIAL,1,1,,1,,,,2022,,,China,Resumen del registro bibliográfico; texto completo NO consultado,,Resistente a carbapenemicos. Verificar si llega a MDR con el antibiograma completo.,"Veinticuatro dias de administracion continua. Extraer la duracion, que casi ningun caso reporta.",2026-08-10 18:29
EST-015,A,,Pseudomonas-only,not-classifiable,author-reported,yes,IV,phage+antibiotic combination,case report,PARTIAL,1,,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,El propio articulo etiqueta la cepa como DTR y solo cefiderocol tenia actividad. Es uno de los pocos casos donde el DTR es derivable con seguridad.,"La mejoria sostenida solo llego tras anadir el fago, no con cefiderocol solo. Util para la atribucion del efecto.",2026-08-10 18:29
EST-016,A,,Pseudomonas-only,MDR,author-reported,,topical/local,phage+antibiotic combination,case report,PARTIAL,1,,,,,,,2022,,,Georgia,Resumen del registro bibliográfico; texto completo NO consultado,,"Coctel comercial BFC 1.10 del Eliava, no personalizado. Comprobar si hubo fagograma previo.","Nueve meses de seguimiento. Confirmar el desenlace final, que el resumen corta a mitad de frase.",2026-08-10 18:29
EST-017,A,,,,,,,,case report,PARTIAL,1,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"La Induced Native Phage Therapy induce profagos del propio paciente, no administra fagos liticos exogenos. Verificar si entra en la definicion de intervencion de la revision.","El resumen no confirma que el patogeno tratado fuera P. aeruginosa. Publicado en Cureus, con revision por pares minima.",2026-08-10 18:29
EST-018,A,,,,,,,,,PARTIAL,,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,El resumen no aporta datos primarios propios.,"El resumen dice literalmente que examina el estado actual de la fagoterapia. Probable REVISION pese al titulo con case studies: si no aporta casos propios, excluir con codigo REV.",2026-08-10 18:29
EST-019,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,inhaled/nebulized,,case series,PARTIAL,3,,0,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Tres monofagos contra S. aureus y/o P. aeruginosa. Separar cuales pacientes fueron tratados contra Pseudomonas.,"El desenlace medido son anticuerpos neutralizantes, no curacion. Extraer con cuidado el exito clinico si consta.",2026-08-10 18:29
EST-020,A,,,,,,,,,PARTIAL,,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Modelo murino de neumonia asociada a ventilador, mas celulas epiteliales humanas primarias in vitro.",ALERTA: el resumen dice que usan un modelo murino. No hay pacientes. Deberia excluirse en texto completo con codigo LAB; se colo en el cribado por resumen.,2026-08-10 18:29
EST-021,A,,Pseudomonas-only,not-classifiable,not-classifiable,,topical/local,phage monotherapy,RCT,PARTIAL,,,,,,,,2019,,,Francia y Belgica,Resumen del registro bibliográfico; texto completo NO consultado,,"El coctel PP1131 se administro a 1x10e6 PFU/mL, mil veces por debajo de lo previsto: el propio ensayo atribuye a eso su resultado. Extraer la dosis REAL, no la planificada.","PhagoBurn, el unico ECA aleatorizado del campo. Comparador activo (sulfadiazina argentica), no placebo. Extraer n por brazo del texto completo: el resumen no lo da.",2026-08-10 18:32
EST-024,A,,Pseudomonas-only,PDR,author-reported,,,,case series,PARTIAL,2,,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,PDR declarado por los autores. Verificar el antibiograma: PDR exige no sensibilidad a todos los agentes de todas las categorias.,"Dos pacientes pediatricos o adultos con FQ. Confirmar edades; el resumen pide ensayos pediatricos, lo que sugiere que estos no lo eran.",2026-08-10 18:32
EST-027,A,,Pseudomonas-only,MDR,author-reported,,inhaled/nebulized,,case report,PARTIAL,1,1,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Poblacion clonal de cepas hipermutadoras; MDR por mutaciones cromosomicas espontaneas. Todos los aislados posteriores siguieron sensibles al fago.,"Sindrome de Kartagener, no fibrosis quistica. Comprobar que encaja en la poblacion elegible de la revision.",2026-08-10 18:32
EST-028,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,prospective cohort,PARTIAL,,,,,,,,2025,,,Japon,Resumen del registro bibliográfico; texto completo NO consultado,,Solo 5 de 30 pacientes tenian P. aeruginosa resistente a carbapenemicos. Los mas frecuentes fueron SARM (10) y micobacterias no tuberculosas (6).,"Extraer SOLO el subgrupo de Pseudomonas si es separable. Las 6 muertes a 30 dias son del total, no atribuibles a ese subgrupo.",2026-08-10 18:32
EST-029,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,topical/local,,RCT,PARTIAL,13,,0,,,,,2025,,,Israel,Resumen del registro bibliográfico; texto completo NO consultado,,"Diana triple: S. aureus, P. aeruginosa y A. baumannii. Separar los pacientes cuya diana era Pseudomonas.",19 aleatorizados pero 13 recibieron TP-102. Usar 13 como denominador. Los propios autores declaran el estudio infrapotenciado.,2026-08-10 18:32
EST-030,A,,Pseudomonas-only,XDR,author-reported,,,phage+antibiotic combination,case report,PARTIAL,1,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Cepa hipermutadora con defecto en reparacion de errores de apareamiento: la resistencia aparece muy rapido. Multiples aislados con morfologias distintas en el mismo foco.,"Infeccion de material de osteosintesis craneofacial. Comprobar si hubo retirada del material, que confunde la atribucion del efecto al fago.",2026-08-10 18:32
EST-031,A,,mixed-pathogen-with-Pseudomonas-subgroup,not-classifiable,not-classifiable,,topical/local,,case series,PARTIAL,1,1,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Solo 1 de los 3 pacientes tenia P. aeruginosa, y resistente a carbapenemicos no equivale a MDR. Los otros dos eran S. aureus y Klebsiella BLEE.","Extraer solo el paciente con Pseudomonas. Curacion a los 45 dias en ese caso, segun el resumen.",2026-08-10 18:32
EST-032,A,,Pseudomonas-only,MDR,author-reported,,,,case report,PARTIAL,1,1,,1,,,,2018,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Bacteriemia esterilizada con dos fagos en dos administraciones separadas. Extraer si hubo recaida entre ambas.,Paciente de 2 anos. Uno de los pocos casos pediatricos: relevante si se estratifica por edad.,2026-08-10 18:32
EST-033,A,,,,,,,,,PARTIAL,,,,,,,,2019,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado. El corpus del proyecto ya lo tiene como neumonia asociada a ventilador y empiema por P. aeruginosa.,SIN RESUMEN y sin deposito en PMC: el texto completo esta de pago y ya fallaron cuatro vias de recuperacion. Este es el caso donde la extraccion desde resumen no puede aportar nada.,2026-08-10 18:32
EST-034,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,IV,,case series,PARTIAL,10,7,,,,,,2020,,,Estados Unidos,Resumen del registro bibliográfico; texto completo NO consultado,,"Un tercio de las solicitudes fueron por P. aeruginosa, S. aureus y M. abscessus; los 10 casos tratados son de organismos mezclados.",El 7 de 10 NO es especifico de Pseudomonas. Separar los casos de P. aeruginosa o el dato no sirve para el estrato.,2026-08-10 18:32
EST-035,A,,,,,,,,RCT,PARTIAL,,,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Cuatro fagos antipseudomonicos en dosis unica intravenosa, con escalada de dosis. Extraer la dosis final del informe de resultados, no de aqui.","Es un PROTOCOLO, sin resultados. No aporta desenlaces. El informe con resultados de este mismo ensayo es otro (PMID 36578069): no contar dos veces.",2026-08-10 18:32
EST-037,A,,,,,,,,,PARTIAL,,,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,PDR resistente a cefiderocol y con colistina en el limite (CMI 2). Antibiograma bien documentado por microdilucion y EUCAST/CLSI 2025.,"ALERTA: el resumen visible NO menciona fagoterapia en ningun momento. Solo colistina, cefiderocol y amikacina. Verificar en el texto; si no hubo fagos, excluir con codigo OFF.",2026-08-10 18:32
EST-038,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,case series,PARTIAL,2,,,0,,,,2021,,,Georgia,Resumen del registro bibliográfico; texto completo NO consultado,,Dos pacientes con P. aeruginosa y uno con Klebsiella. En un caso la cepa previa y posterior eran indistinguibles por PFGE pero cambio la sensibilidad al fago.,Serie SELECCIONADA POR FRACASO: son los pocos pacientes del centro cuyo patogeno persistio. Sesgo de seleccion invertido; no promediar con series de exito sin decirlo.,2026-08-10 18:32
EST-039,A,,,,,,inhaled/nebulized,phage monotherapy,case series,PARTIAL,3,,0,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Monoterapia inhalada 28 dias SIN antibiotico. El resumen habla de microorganismos multirresistentes en general, no confirma que fueran P. aeruginosa.","Los fagos se seleccionaron para el espectro de bacterias de la UCI entera, no por paciente. Eso no es fagoterapia personalizada; afecta a como se describe la intervencion.",2026-08-10 18:32
EST-040,A,,Pseudomonas-only,XDR,author-reported,,,,case report,PARTIAL,1,,,1,1,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Se coadministraron inmunoglobulinas enriquecidas en IgM/IgA junto al fago: cointervencion que compite por la atribucion del efecto.,Erradicacion microbiologica LOGRADA y desenlace FATAL. Es el caso que demuestra por que exito clinico y erradicacion no pueden colapsarse en un solo desenlace.,2026-08-10 18:32
EST-041,A,,,,,,,,,PARTIAL,,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Describe la caracterizacion del fago y la presion selectiva evolutiva, no el tratamiento de pacientes.","Es un articulo de metodologia de preparacion, no un estudio clinico. Probable exclusion con codigo OFF o LAB en texto completo.",2026-08-10 18:32
EST-042,A,,Pseudomonas-only,not-classifiable,not-classifiable,,,,case series,PARTIAL,2,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Resistente a farmacos sin especificar categoria. Uno de los dos brazos ya se codifico como no clasificable en el corpus tras revisar el antibiograma.,"Este es el estudio cuyo PMID estaba mal atribuido en el indice de controles positivos. Ya corregido, pero conviene no volver a mezclarlo con el metaanalisis de Liu.",2026-08-10 18:32
EST-043,A,,Pseudomonas-only,PDR,author-reported,,,phage+antibiotic combination,case report,PARTIAL,1,,,,,,,2026,,,Estados Unidos,Resumen del registro bibliográfico; texto completo NO consultado,,"P. aeruginosa productora de NDM-1, metalobetalactamasa. Primer uso de cefepima-zidebactam en EE.UU. junto al fago.",Calcifilaxis en leucemia mieloide aguda: poblacion muy atipica. Comprobar que el desenlace atribuido al fago no se confunde con el tratamiento de la calcifilaxis.,2026-08-10 18:32
EST-044,A,,Pseudomonas-only,MDR,author-reported,,,,case report,PARTIAL,1,1,,,,,,2026,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Infeccion intraabdominal tras trasplante multiorganico, con multiples ciclos previos de antibioticos de amplio espectro.","Segundo caso pediatrico de 2 anos del corpus. Comprobar que no es el mismo paciente que EST-032, de otro centro y otro ano.",2026-08-10 18:32
EST-045,A,,,,,,,,,PARTIAL,,,,,,,,2017,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Describe un algoritmo de tres etapas: fagograma, anticuerpos IgG antifago por ELISA y eleccion de via segun farmacocinetica.","El 30 por ciento de mejora de eficacia no tiene denominador ni comparador en el resumen. Sin una cohorte con desenlaces, no es extraible.",2026-08-10 18:32
EST-046,A,,Pseudomonas-only,,,yes,,,case report,PARTIAL,1,,,,,,,2017,,,,Resumen del registro bibliográfico; texto completo NO consultado,,El titulo dice sensible solo a colistina. Bajo el criterio de Kadri eso es DTR POSITIVO: la colistina es agente de reserva y no cuenta. Uno de los pocos DTR derivables.,"Sin resumen indexado. Septicemia con lesion renal aguda: comprobar si la colistina se suspendio por nefrotoxicidad, lo que explicaria el recurso al fago.",2026-08-10 18:45
EST-047,A,,Pseudomonas-only,MDR,author-reported,,,phage+antibiotic combination,case report,PARTIAL,1,1,0,1,,,,2019,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Erradicacion declarada sin efectos adversos. Extraer la duracion del seguimiento, que el resumen no da.",Dos focos en el mismo paciente: protesis de rodilla y osteomielitis de femur. Decidir si es un desenlace o dos.,2026-08-10 18:45
EST-048,A,,Pseudomonas-only,not-classifiable,not-classifiable,,topical/local,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2023,,,Italia,Resumen del registro bibliográfico; texto completo NO consultado,,Fago Pa53 por drenaje articular con posologia detallada. Trae ensayo bactericida in vitro sobre biofilm de 24 horas: dato util pero no clinico.,"Dos anos de seguimiento con gammagrafia leucocitaria negativa. Desenlace bien documentado, de los mejores del corpus.",2026-08-10 18:45
EST-049,A,,Pseudomonas-only,MDR,author-reported,,,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Desarrollo linfocitos T CD4 especificos de fago mas IgG y anticuerpos neutralizantes, y aun asi el tratamiento se considero exitoso.","El objeto del articulo es la respuesta inmunitaria, no el desenlace clinico. Extraer el desenlace con cuidado: puede estar poco detallado.",2026-08-10 18:45
EST-050,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,prospective cohort,PARTIAL,26,18,,,,,,2024,,,Francia,Resumen del registro bibliográfico; texto completo NO consultado,,172 cocteles preparados contra S. aureus y/o P. aeruginosa: 57 para inyeccion local y 99 intravenosos. Separar cuales pacientes tenian Pseudomonas.,"El 69 por ciento favorable es sobre 26 pacientes con organismos mezclados. Sin separar el subgrupo de Pseudomonas, ese dato no sirve para el estrato.",2026-08-10 18:45
EST-051,A,,,,,,topical/local,,case report,PARTIAL,1,,,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Cuatro gramnegativos multirresistentes distintos, sin especificar si P. aeruginosa esta entre ellos. El coctel Intesti del Eliava es polivalente, no personalizado.",Confirmar la presencia de P. aeruginosa antes de incluirlo. Tecnica de Masquelet en dos tiempos con espaciador de PMMA con colistina: cointervencion local relevante.,2026-08-10 18:45
EST-052,A,,Pseudomonas-only,MDR,author-reported,,inhaled/nebulized,,RCT,PARTIAL,,,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Monofago inhalado YPT-01, no coctel. Relevante: la mayoria de estudios usan cocteles.",Resumen de congreso del ensayo CYPHY. El informe principal esta en otra entrada del corpus: no contar los mismos pacientes dos veces.,2026-08-10 18:45
EST-053,A,,Pseudomonas-only,not-classifiable,not-classifiable,,IV,phage+antibiotic combination,case report,PARTIAL,1,,0,,,,,2024,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sospecha de biofilm en el stent arterial que no se pudo retirar. Coctel de tres fagos mas meropenem durante dos semanas.,"Diez meses de seguimiento. Extraer si hubo recurrencia, que es el desenlace que importa en infeccion de material protesico.",2026-08-10 18:45
EST-054,A,,Pseudomonas-only,MDR,author-reported,,other,phage+antibiotic combination,case report,PARTIAL,1,1,,1,,,,2025,,,Estados Unidos,Resumen del registro bibliográfico; texto completo NO consultado,,"Paciente con fibrosis quistica, disfuncion ciliar e inmunosupresion por trasplante pulmonar: tres factores que dificultan atribuir la mejoria solo al fago.","Cultivos negativos a los 5 meses. Via intratimpanica, unica en el corpus: puede quedar sola en su estrato de via.",2026-08-10 18:45
EST-055,A,,,,,,,,prospective cohort,PARTIAL,217,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Sextafago es un piobacteriofago polivalente comercial, no personalizado. El resumen no dice que organismos causaban las cistitis: confirmar cuantas eran por P. aeruginosa.",MUY VALIOSO: tiene grupo IV sin fago (furazidina y cefixima solos) como comparador real. Es de los poquisimos estudios del corpus con comparador sin fago.,2026-08-10 18:45
EST-057,A,,Pseudomonas-only,,,,,phage+antibiotic combination,case report,PARTIAL,1,1,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Endocarditis recurrente con infeccion de Bentall. El resumen no da clase de resistencia ni via de administracion.,"Resumen muy escueto, dos frases. Casi todo habra que sacarlo del texto completo.",2026-08-10 18:45
EST-058,A,,Pseudomonas-only,,,,inhaled/nebulized,phage+antibiotic combination,case report,PARTIAL,1,,0,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Fago vB_Pae_10 nebulizado en dos tandas de 10 dias junto a antimicrobianos estandar.,"El desenlace destacado es la resolucion del RECHAZO AGUDO del injerto, no de la infeccion. No confundir uno con otro al extraer el exito clinico.",2026-08-10 18:45
EST-059,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,oral,,prospective cohort,PARTIAL,42,,,,,,,2017,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"De los aislados iniciales, A. baumannii, K. pneumoniae y P. aeruginosa en el 87,5 por ciento de las muestras. Los ciclos repetidos no lograron erradicar.","La sanitacion eficaz del 54 al 62,5 por ciento es sobre los tres organismos juntos. Sin desglose por Pseudomonas no es extraible para el estrato.",2026-08-10 18:45
EST-060,A,,,,,,,,,PARTIAL,,,,,,,,2018,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Serie de casos propios centrada en infecciones osteoarticulares, mezclada con revision historica de la literatura.","Mezcla revision y casos propios. Extraer SOLO los casos propios; si el texto no los separa de los citados, excluir con codigo REV.",2026-08-10 18:45
EST-061,A,,mixed-pathogen-with-Pseudomonas-subgroup,MDR,author-reported,,,phage+antibiotic combination,case series,PARTIAL,2,2,,,,,,2019,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Dos pacientes con P. aeruginosa y uno con Burkholderia dolosa. Los dos de Pseudomonas respondieron y fueron dados de alta sin ventilador.,"Separar los 2 de Pseudomonas del de Burkholderia. Si se cuentan los 3, se mete un organismo no elegible en el denominador.",2026-08-10 18:45
EST-062,A,,Pseudomonas-only,XDR,author-reported,,IV,phage+antibiotic combination,case report,PARTIAL,1,,,,,,,2022,,,,Resumen del registro bibliográfico; texto completo NO consultado,,86 dias de tratamiento combinado sin neutralizacion del fago mediada por anticuerpos: dato relevante para la duracion maxima tolerada.,Lactante tras trasplante hepatico. Tercer caso pediatrico del corpus; conviene tenerlos localizados por si se estratifica por edad.,2026-08-10 18:45
EST-063,A,,,,,,,,non-randomised trial,PARTIAL,,,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Fagos no modificados geneticamente, via intrabronquial y nebulizada, en adolescentes de 12 a 18 anos con fibrosis quistica.","Es un PROTOCOLO de ensayo de un solo brazo, hasta 10 participantes, sin resultados. No aporta desenlaces.",2026-08-10 18:45
EST-064,A,,,,,,,,,PARTIAL,,,,,,,,2025,,,,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado.,"El titulo habla de cuellos de botella y soluciones propuestas: apunta a comentario o revision, no a estudio con pacientes. Verificar y probablemente excluir con codigo REV.",2026-08-10 18:45
EST-065,A,,Pseudomonas-only,,,,,,case report,PARTIAL,1,1,,,,,,2025,,,España,Resumen del registro bibliográfico; texto completo NO consultado,,Sin resumen indexado. El titulo afirma tratamiento exitoso en infeccion periprotesica.,"Sin resumen: todo hay que sacarlo del texto completo. Articulo en espanol, lo que puede facilitar la lectura pero complicar la recuperacion.",2026-08-10 18:45
EST-067,A,,,,,,inhaled/nebulized,,non-randomised trial,PARTIAL,43,,,,,,,2021,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,El resumen no especifica el organismo diana. Confirmar cuantos pacientes tenian P. aeruginosa antes de usar cualquier cifra.,"MUY VALIOSO: grupo control de 40 pacientes sin fago, y subgrupo de 14 tratados con fago SIN antibiotico. Ese subgrupo alimenta directamente el estrato de monoterapia que el memo da por escaso.",2026-08-10 18:45
EST-070,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,prospective cohort,PARTIAL,,,,,,,,2023,,,Israel,Resumen del registro bibliográfico; texto completo NO consultado,,Multirresistentes en el 38 por ciento de las solicitudes; infecciones respiratorias y oseas el 51 por ciento. No dice cuantas eran por P. aeruginosa.,"Las 159 cifras del resumen son SOLICITUDES, no pacientes tratados. Extraer cuantos se trataron de verdad; confundir solicitudes con tratados inflaria el denominador.",2026-08-10 18:47
EST-073,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,topical/local,,prospective cohort,PARTIAL,20,,,,,,,2019,,,,Resumen del registro bibliográfico; texto completo NO consultado,,"Tres organismos diana: E. coli, S. aureus y P. aeruginosa. Coctel personalizado tras confirmar el aislado.",Veinte pacientes repartidos entre tres organismos. Sin desglose no se puede usar el dato para el estrato de Pseudomonas.,2026-08-10 18:47
EST-074,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,other,,case series,PARTIAL,8,,,,,,,2020,,,Alemania,Resumen del registro bibliográfico; texto completo NO consultado,,"Cinco organismos distintos en ocho pacientes: S. aureus, E. faecium, P. aeruginosa, K. pneumoniae y E. coli.",Tratamiento de ultimo recurso bajo el articulo 37 de Helsinki. Separar los pacientes con Pseudomonas o el dato no es utilizable.,2026-08-10 18:47
EST-075,A,,mixed-pathogen-with-Pseudomonas-subgroup,,,,,,prospective cohort,PARTIAL,19,,,,,,,2021,,,Rusia,Resumen del registro bibliográfico; texto completo NO consultado,,"Fagos seleccionados individualmente segun etiologia: P. aeruginosa, K. pneumoniae y A. baumannii. Se midio produccion de interferon alfa y gamma.","El objeto del estudio es la respuesta inmunitaria, no el desenlace clinico. Puede que no haya desenlaces extraibles.",2026-08-10 18:47
EST-076,A,,,,,,,,case series,PARTIAL,10,,,,,,,2023,,,,Resumen del registro bibliográfico; texto completo NO consultado,,El resumen no dice que organismos causaban las diez infecciones periprotesicas. Confirmar cuantas eran por P. aeruginosa antes de usar nada.,Resumen de dos frases en una revista de primer nivel. Todo el dato esta en el texto completo.,2026-08-10 18:47
