id,titulo,revista,anio,doi,pmid,tipo
EST-081,Bacteriophage therapy as a treatment option for transplant infections.,Current opinion in infectious diseases,2020,10.1097/qco.0000000000000658,32657966,articulo
EST-083,Bacteriophage Therapy for Difficult-to-Treat Infections: The Implementation of a Multidisciplinary Phage Task Force (The PHAGEFORCE Study Protocol).,Viruses,2021,10.3390/v13081543,34452408,articulo
EST-089,Combined use of light and phage therapy in patients with pharyngeal tonsil hypertrophy,Voprosy Prakticheskoi Pediatrii,2024,10.20953/1817-7646-2024-2-123-127,,articulo
EST-090,"'Bacteriophage therapy, a solution for increasing antibiotic resistance'. UMC Utrecht treats a patient with bacteriophage for the first time; [IBACTERIOFAAGTH ERAPI E UITKOMST BIJ TOENAME VAN ANTI BIOTI CARESISTENTI EI]",Pharmaceutisch Weekblad,2025,,,articulo
EST-092,Phage therapy analysis of effectiveness in comorbid patients with wounds and surgical infections of various etiology based on the results of a comparative clinical study; [Анализ эффективности фаговой терапии у коморбидных пациентов с ранами и хирургической инфекцией различной этиологии по результатам сравнительного клинического исследования],Pirogov Russian Journal of Surgery,2025,,40103254,articulo
EST-096,Low immunogenicity of intravesical phage therapy for urogenitary tract infections,Antibiotics,2021,10.3390/antibiotics10060627,,articulo
EST-098,Bacteriophage therapy as a treatment option for complex cardiovascular implant infection: The German Heart Center Berlin experience.,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,2022,10.1016/j.healun.2022.01.018,35183435,articulo
EST-100,Personalized phagotherapy in the treatment of healthcare-associated infections caused by multidrug-resistant pathogens,Infektsionnye Bolezni,2024,10.20953/1729-9225-2024-4-76-85,,articulo
EST-103,Phage therapy of purulent wounds: comparative clinical cytomorphological and microbiological analysis of effectiveness; [Фаготерапиягнойныхран:сравнительныйклинико-цитоморфологический и микробиологический анализ эффективности],Pirogov Russian Journal of Surgery,2026,,41885494,articulo
EST-105,Innovations for the treatment of a complex bone and joint infection due to XDR Pseudomonas aeruginosa including local application of a selected cocktail of bacteriophages.,The Journal of antimicrobial chemotherapy,2018,10.1093/jac/dky263,30060002,articulo
EST-110,Successful Use of Phage and Antibiotics Therapy for the Eradication of Two Bacterial Pathogens from the Respiratory Tract of an Infant.,"Methods in molecular biology (Clifton, N.J.)",2024,10.1007/978-1-0716-3523-0_15,38066373,articulo
EST-115,Antiphage activity of sera during phage therapy in relation to its outcome.,Future microbiology,2017,10.2217/fmb-2016-0156,27643529,articulo
EST-118,"Intravesical bacteriophages for treating urinary tract infections in patients undergoing transurethral resection of the prostate: a randomised, placebo-controlled, double-blind clinical trial.",The Lancet. Infectious diseases,2021,,32949500,articulo
EST-122,"Standardised treatment and monitoring protocol to assess safety and tolerability of bacteriophage therapy for adult and paediatric patients (STAMP study): protocol for an open-label, single-arm trial.",BMJ open,2022,10.1136/bmjopen-2022-065401,36600337,articulo
EST-123,INFLUENCE OF INHALED BACTERIOPHAGE THERAPY ON ORAL MUCOSAL IMMUNITY IN CHILDREN WITH ACUTE TONSILLITIS; [ВЛИЯНИЕ ИНГАЛЯЦИОННОЙ БАКТЕРИОФАГТЕРАПИИ НА МУКОЗАЛЬНЫЙ ИММУНИТЕТ РОТОВОЙ ПОЛОСТИ У ДЕТЕЙ С ОСТРЫМ ТОНЗИЛЛИТОМ],Russian Journal of Infection and Immunity,2023,10.15789/2220-7619-ioi-2081,,articulo
EST-125,[Phage therapy in overcoming antibiotic resistance in chronic rhinosinusitis].,Vestnik otorinolaringologii,2023,10.17116/otorino20238806148,38153893,articulo
EST-126,Application of bacteriophage therapy in the treatment of children with acute tonsillitis,International Journal of Pediatrics and Adolescent Medicine ,2024,10.4103/ijpam.ijpam_1_24,,articulo
EST-131,Results of TOR001: An open-label single patient study using targeted bacteriophage therapy for the treatment of a chronic urinary tract infection,International journal of antimicrobial agents,2025,10.1016/j.ijantimicag.2025.107613,40930191,articulo
EST-136,[Clinical efficiency of polyvalent piobacteriophage in the complex treatment of nosocomial sinusitis].,Vestnik otorinolaringologii,2025,10.17116/otorino20259004133,40899889,articulo
EST-139,Hemodynamic aspects of combination treatment using medical ozone and bacteriophages in patients with chronic endometritis,Russian Bulletin of Obstetrician-Gynecologist,2018,10.17116/rosakush201818475,,articulo
EST-140,Novel bacteriophage therapy for treatment of left ventricular assist device infection.,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,2019,10.1016/j.healun.2019.01.001,30661974,articulo
EST-142,Bacteriophage therapy for bacterial endophthalmitis,Japanese Journal of Clinical Ophthalmology,2021,,,articulo
EST-145,Vacuum Therapy in the Treatment of a Patient with Chronic Periprosthetic Infection after Total Hip Arthroplasty,Novosti Khirurgii,2022,10.18484/2305-0047.2022.4.401,,articulo
EST-147,Complex surgical treatment of recurrent post-injection abscess in a patient with systemic autoimmune disease; [Комплексное хирургическое лечение рецидивирующего постинъекционного абсцесса на фоне системного аутоиммунного заболевания],Pirogov Russian Journal of Surgery,2023,10.17116/hirurgia2023121123,38088850,articulo
EST-151,"[Experience with the use of bacteriophages in patients with neurogenic lower urinary tract dysfunction, complicated by recurrent lower urinary tract infection].","Urologiia (Moscow, Russia : 1999)",2024,10.18565/urology.2024.1.114-118,38655779,articulo
EST-157,"A Randomized, Placebo-controlled, Double-blind Clinical Trial of Bacteriophage Cocktails in Chronic Wound Infections.",The international journal of lower extremity wounds,2026,,38233034,articulo
EST-163,The use of bacteriophages in therapy of ENT organs in children,Voprosy Prakticheskoi Pediatrii,2018,10.20953/1817-7646-2018-2-49-53,,articulo
EST-164,Bacteriophage Application for Difficult-to-treat Musculoskeletal Infections: Development of a Standardized Multidisciplinary Treatment Protocol.,Viruses,2019,10.3390/v11100891,31548497,articulo
EST-165,Use of Customized Bacteriophages in the Treatment of Chronic Nonhealing Wounds: A Prospective Study.,The international journal of lower extremity wounds,2021,10.1177/1534734619881076,31752578,articulo
EST-166,THE CURRENT STATE OF THE PROBLEM AND A CLINICAL OBSERVATION OF THERAPY FOR OBSTETRIC SEPSIS CAUSED BY ESKAPE PATHOGENS,Akusherstvo i Ginekologiya (Russian Federation),2022,10.18565/aig.2022.4.164-175,,articulo
EST-167,Biological Therapy on Infected Traumatic Wounds: A Case-Control Study.,The international journal of lower extremity wounds,2024,10.1177/15347346211072779,34985344,articulo
EST-170,Thoracic endovascular aneurysm repair of a ruptured zone 0 mycotic thoracic aortic aneurysm,Annals of Vascular Surgery - Brief Reports and Innovations,2024,10.1016/j.avsurg.2024.100302,,articulo
EST-173,Use of bacteriophages in the treatment of infected wounds in patients who have allergy to antibiotics,Surgical Chronicles,2016,,,articulo
EST-174,"[CORRECTION OF ENTERAL INSUFFICIENCY SYNDROME IN PATIENTS, SUFFERING DIFFUSE PERITONITIS].","Klinichna khirurhiia / Ministerstvo okhorony zdorov'ia Ukraïny, Naukove tovarystvo khirurhiv Ukraïny",2016,,27244910,articulo
EST-175,[Secondary prevention of chronic tonsillitis exacerbations by bacteriophage medications].,Vestnik otorinolaringologii,2019,10.17116/otorino20198402146,31198215,articulo
EST-177,"A randomized, double-blind, placebo- -controlled study to investigate the use of bacteriophages in patients with chronic rhinosinusitis with nasal polyps.",Otolaryngologia polska = The Polish otolaryngology,2021,,35175218,articulo
EST-179,BACTERIOPHAGES IN RECURRENT URINARY TRACT INFECTION IN PATIENTS WITH PAINFUL BLADDER SYNDROME/INTERSTITIAL CYSTITIS. CLINICAL CASES,Urologiia,2022,10.18565/urology.2022.3.115-118,,articulo
EST-181,Short-Term Outcomes of Phage-Antibiotic Combination Treatment in Adult Patients with Periprosthetic Hip Joint Infection.,Viruses,2023,,36851713,articulo
EST-183,Pioneering methods in managing acute respiratory infections with tonsillopharyngitis in pediatric patients prone to recurrent respiratory illnesses; [Новые подходы к терапии эпизода острой респираторной инфекции с явлениями тонзиллофарингита у детей с рекуррентными респираторными заболеваниями],Russian Medical Inquiry,2025,10.32364/2587-6821-2025-9-12-5,,articulo
EST-184,Severe Darier disease complicated by recurrent multidrug-resistant cutaneous infection,JAAD Case Reports,2026,10.1016/j.jdcr.2026.06.010,,articulo
EST-185,The management of sternal mediastinitis in heart and lung transplant patients: An 8-year experience and application of reconstructive algorithm,"Journal of Plastic, Reconstructive and Aesthetic Surgery",2026,10.1016/j.bjps.2026.06.028,,articulo
EST-189,EVALUATION OF THE EFFECTIVENESS OF THE USE OF BACTERIOPHAGES IN THE TREATMENT OF ACUTE INTESTINAL INFECTIONS CAUSED BY OPPORTUNISTIC PATHOGENS IN INFANTS,Pediatriya - Zhurnal im G.N. Speranskogo,2024,10.24110/0031-403x-2024-103-1-114-123,,articulo
EST-193,Medical ozone and bacteriophage preparations as an important component in the combination therapy of chronic nonspecific endometritis,Russian Bulletin of Obstetrician-Gynecologist,2016,10.17116/rosakush201616546-49,,articulo
EST-194,Clinical efficacy of bacteriophage and laser therapy in the treatment of chronic endometritis,Russian Journal of Human Reproduction,2019,10.17116/repro20192505169,,articulo
EST-195,"Evaluation of the efficiency and safety of topical application of the bacteriophage-containing gels fagogin and fagoderm for the prevention of wound complications in puerperas; [ОЦЕНКА ЭФФЕКТИВНОСТИ И БЕЗОПАСНОСТИ ГЕЛЕЙ ДЛЯ МЕСТНОГО ПРИМЕНЕНИЯ «ФАГОГИН» И «ФАГОДЕРМ», СОДЕРЖАЩИХ БАКТЕРИОФАГИ, ДЛЯ ПРОФИЛАКТИКИ РАНЕВЫХ ОСЛОЖНЕНИЙ У РОДИЛЬНИЦ]",Akusherstvo i Ginekologiya (Russian Federation),2019,10.18565/aig.2019.6.126-131,,articulo
EST-196,PREVENTION OF INFECTIOUS AND INFLAMMATORY COMPLICATIONS AFTER PERCUTANEOUS NEPHROLITHOTOMY,Urologiia,2020,10.18565/urology.2020.3.26-33,32597582,articulo
EST-198,Experience of using bacteriophages in the complex treatment of children with aphthous stomatitis; [Opyt ispol'zovaniya bakteriofagov v kompleksnom lechenii detei s aftoznym stomatitom],Stomatologiia,2022,10.17116/stomat202210106122,36562363,articulo
EST-205,Beneficios obtenidos con el empleo de bacteriófagos en el tratamiento de infecciones crónicas,Revista Cubana de Angiología y Cirugía Vascular,2017,,,articulo
EST-206,[Results of the observational (non-interventional) research 'Analysis of therapeutic efficiency of the polyvalent Piobacteriophag (Secstaphag) in the treatment of acute sinusitis'].,Vestnik otorinolaringologii,2019,10.17116/otorino20198405155,31793528,articulo
EST-207,Successful bacteriophage treatment of infection involving cardiac implantable electronic device and aortic graft: a Trojan horse concept.,"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",2020,10.1093/europace/euz319,31740948,articulo
EST-208,Treatment of chronic left ventricular assist device infection with local application of bacteriophages.,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,2020,10.1093/ejcts/ezz295,31651936,articulo
EST-219,Bacteriophages in complex treatment of septic diseases of the hand; [Использование лекарственных препаратов бактериофагов в комплексном лечении гнойных заболеваний кисти],Pirogov Russian Journal of Surgery,2023,10.17116/hirurgia202309145,37707331,articulo
